bulk_compression_ratio,deficit_hidden_1,deficit_input,deficit_output,entropy_gap,entropy_prod_global,entropy_prod_hidden_1,entropy_prod_input,entropy_prod_output,epoch,global_eff_rank,global_entropy,hidden_1_eff_rank,hidden_1_entropy,input_eff_rank,input_entropy,output_eff_rank,output_entropy,test_acc,train_acc,train_loss
0.8473189922647992,0.036183178424835205,0.012160226702690125,0.03391255438327789,0.1656780242919922,,,,,1,138.2266845703125,4.928894996643066,78.19757080078125,4.359238624572754,92.2882308959961,4.524916648864746,66.11293029785156,4.191364288330078,0.009108850766661606,0.008504606661941885,4.577684495400065
0.42123515013087975,0.1722375601530075,0.024610191583633423,0.13635529577732086,0.8645639419555664,-0.049530982971191406,-0.8480954170227051,-0.14920949935913086,-0.6308016777038574,100,131.54698181152344,4.879364013671875,33.48652648925781,3.511143207550049,79.49604034423828,4.375707149505615,35.182987213134766,3.5605626106262207,0.0003036283588887202,0.3855421686746988,2.64729524723272
0.3763362693286498,0.17738232016563416,0.015650196000933647,0.13886910676956177,0.9772722721099854,-0.008989334106445312,-0.0447847843170166,0.06792354583740234,-0.023208141326904297,200,130.36968994140625,4.87037467956543,32.019927978515625,3.4663584232330322,85.08329010009766,4.443630695343018,34.375858306884766,3.5373544692993164,0.0003036283588887202,0.7402551381998582,1.702123930148416
0.35988198556941536,0.18086819350719452,0.01319713145494461,0.1405593901872635,1.0219790935516357,-0.000606536865234375,-0.023566722869873047,0.021140098571777344,-0.01633429527282715,300,130.29071044921875,4.869768142700195,31.27414321899414,3.442791700363159,86.90110778808594,4.464770793914795,33.818912506103516,3.5210201740264893,0.0001518141794443601,0.8926293408929837,1.2748898315902808
0.35223993918936963,0.18307293951511383,0.012181760743260384,0.14121954143047333,1.043442726135254,-0.00038814544677734375,-0.013191938400268555,0.00827169418334961,-0.00870513916015625,400,130.24014282226562,4.869379997253418,30.864288330078125,3.4295997619628906,87.62290954589844,4.4730424880981445,33.52579116821289,3.512315034866333,0.0001518141794443601,0.9546420978029766,1.0527309096510067
0.3481041931039142,0.18470162153244019,0.011545764282345772,0.14164355397224426,1.055253267288208,-0.00023508071899414062,-0.008688688278198242,0.0031218528747558594,-0.0057566165924072266,500,130.20953369140625,4.869144916534424,30.597272872924805,3.4209110736846924,87.89688110351562,4.4761643409729,33.333351135253906,3.506558418273926,0.0003036283588887202,0.9844082211197732,0.9042400988934313
0.3445362016372499,0.18635301291942596,0.011266366578638554,0.14240309596061707,1.0655560493469238,-0.00013017654418945312,-0.00818324089050293,0.0021195411682128906,-0.006550788879394531,600,130.1925811767578,4.869014739990234,30.34791374206543,3.4127278327941895,88.08338165283203,4.478283882141113,33.11570358276367,3.5000076293945312,0.0001518141794443601,0.9939759036144579,0.7919671441712842
0.34116295958182397,0.18820342421531677,0.011118786409497261,0.14367564022541046,1.075395107269287,-0.000957489013671875,-0.010460853576660156,-0.000621795654296875,-0.010894298553466797,700,130.06797790527344,4.8680572509765625,30.032106399536133,3.4022669792175293,88.02862548828125,4.477662086486816,32.75688934326172,3.4891133308410645,0.0004554425383330803,0.9982282069454288,0.6907504140105677
0.33943082316346074,0.18984967470169067,0.011269396170973778,0.1451161503791809,1.0804851055145264,-0.001232147216796875,-0.009736299514770508,-0.00464630126953125,-0.012744665145874023,800,129.90782165527344,4.866825103759766,29.741121292114258,3.392530679702759,87.62056732177734,4.473015785217285,32.342063903808594,3.4763686656951904,0.0007590708972218005,0.9996456413890857,0.6120283697447314
0.3388099173694319,0.19079935550689697,0.011421237140893936,0.1461305469274521,1.0823159217834473,-0.0012416839599609375,-0.0057108402252197266,-0.003880023956298828,-0.00977015495300293,900,129.74661254882812,4.865583419799805,29.571758270263672,3.386819839477539,87.28126525878906,4.469135761260986,32.02761459350586,3.4665985107421875,0.0010626992561105207,1.0,0.5471256069474656
0.33856283132897913,0.1913183331489563,0.01146179623901844,0.14682511985301971,1.083045482635498,-0.0007276535034179688,-0.002350330352783203,-0.0016207695007324219,-0.006079196929931641,1000,129.6522216796875,4.864855766296387,29.502336502075195,3.384469509124756,87.1399154663086,4.467514991760254,31.8335018157959,3.460519313812256,0.001518141794443601,1.0,0.49302547642054245
0.3383455751513047,0.1917015165090561,0.011464979499578476,0.1474168747663498,1.0836875438690186,-0.0006809234619140625,-0.0012943744659423828,-0.000652313232421875,-0.004216194152832031,1100,129.56398010253906,4.864174842834473,29.464176177978516,3.3831751346588135,87.08308410644531,4.466862678527832,31.699569702148438,3.456303119659424,0.0018217701533323211,1.0,0.4444049037280106
0.33780897378685787,0.19220831990242004,0.011537500657141209,0.14805421233177185,1.0852746963500977,-0.0005397796630859375,-0.0022003650665283203,-0.0006132125854492188,-0.004083395004272461,1200,129.4940643310547,4.863635063171387,29.3994140625,3.380974769592285,87.02970123291016,4.466249465942383,31.570392608642578,3.4522197246551514,0.0025808410505541216,1.0,0.4016168637321318
0.3370029181449091,0.19232240319252014,0.011559234000742435,0.1487320363521576,1.0876636505126953,-0.0005741119384765625,-0.0028018951416015625,-0.00041294097900390625,-0.003740072250366211,1300,129.41973876953125,4.86306095123291,29.317155838012695,3.3781728744506836,86.9937744140625,4.465836524963379,31.45253562927246,3.448479652404785,0.0025808410505541216,1.0,0.3641271037382914
0.3357066791564501,0.19326990842819214,0.011633729562163353,0.14973829686641693,1.091517448425293,-0.0007119178771972656,-0.004733085632324219,-0.0008792877197265625,-0.005441188812255859,1400,129.32763671875,4.862349033355713,29.178722381591797,3.3734397888183594,86.91731262207031,4.464957237243652,31.281862258911133,3.4430384635925293,0.003491726127220282,1.0,0.32799831567124893
0.33489943967998237,0.19434812664985657,0.011943073943257332,0.15105894207954407,1.0939249992370605,-0.0008654594421386719,-0.005954265594482422,-0.0035467147827148438,-0.007410526275634766,1500,129.21575927734375,4.861483573913574,29.005502700805664,3.367485523223877,86.60958862304688,4.4614105224609375,31.0509033203125,3.4356279373168945,0.004554425383330803,1.0,0.29591792570539266
0.3349644898547162,0.1950160264968872,0.012594249099493027,0.1526084691286087,1.0937306880950928,-0.0007224082946777344,-0.005987882614135742,-0.006182193756103516,-0.008104801177978516,1600,129.12245178222656,4.8607611656188965,28.832338333129883,3.361497640609741,86.0758056640625,4.455228328704834,30.800260543823242,3.427523136138916,0.005465310459996963,1.0,0.26806489076705625
0.33532055681191686,0.19483810663223267,0.01325138844549656,0.1539815068244934,1.0926682949066162,-0.0011696815490722656,-0.005105495452880859,-0.006167888641357422,-0.008219242095947266,1700,128.9715118408203,4.859591484069824,28.685510635375977,3.3563921451568604,85.5465316772461,4.449060440063477,30.54814338684082,3.4193038940429688,0.006831638074996205,1.0,0.2423477105051807
0.3356500335926332,0.19548183679580688,0.013726165518164635,0.15504300594329834,1.0916862487792969,-0.0012793540954589844,-0.003729104995727539,-0.004711151123046875,-0.00731348991394043,1800,128.80661010742188,4.858312129974365,28.578739166259766,3.352663040161133,85.14445495605469,4.44434928894043,30.325544357299805,3.4119904041290283,0.008653408228328526,1.0,0.21928629077427106
0.33559097086934275,0.1960107684135437,0.013985884375870228,0.15587110817432404,1.0918622016906738,-0.0012707710266113281,-0.003081798553466797,-0.0029058456420898438,-0.0059049129486083984,1900,128.64303588867188,4.857041358947754,28.490800857543945,3.349581241607666,84.89739990234375,4.44144344329834,30.147001266479492,3.40608549118042,0.009412479125550327,1.0,0.19872912498419373
0.33527211258527395,0.19653624296188354,0.014106418937444687,0.1565670371055603,1.0928127765655518,-0.0008258819580078125,-0.0027916431427001953,-0.0018410682678222656,-0.004570960998535156,2000,128.53683471679688,4.856215476989746,28.411375045776367,3.346789598464966,84.74124145507812,4.439602375030518,30.009517669677734,3.4015145301818848,0.010626992561105207,1.0,0.1818116769712078
