T_explore_epochs,T_explore_markov,epoch,epsilon,epsilon_derivative,hidden_eff_rank,hidden_entropy,hidden_k,phase,tau,test_acc,train_acc,train_loss,weight_decay
1.9372601083685572,1.9372601083685572,1,0.05161929447058812,0.0,78.16313171386719,4.358798027038574,78,heat,1.0,0.0,0,0,0.1
3.4034585667057438,3.4034585667057438,25,0.02938187671160382,0.0,53.41072463989258,3.9780116081237793,76,heat,1.0,0.0012145134355548808,0.07228915662650602,4.278440904989046,0.1
6.147430279912753,6.147430279912753,50,0.0162669595988357,0.0,41.13645935058594,3.7168948650360107,72,heat,1.0,0.0,0.1945428773919206,3.3105779652220404,0.1
6.795054348851427,6.795054348851427,75,0.014716585749884851,0.0,41.40544128417969,3.723412275314331,69,heat,1.0,0.0,0.37739192062367116,2.550793958673403,0.1
6.64995729557834,6.64995729557834,100,0.015037690552763633,0.0,41.64503860473633,3.729182243347168,66,heat,1.0,0.0,0.5878809355067328,1.8604355411779618,0.1
6.3858001653895595,6.3858001653895595,125,0.015659744653769573,0.0,41.70246505737305,3.730560302734375,64,heat,1.0,0.0001518141794443601,0.7856130403968816,1.2779161238991394,0.1
5.854178223257287,5.854178223257287,150,0.01708181681294281,0.0,41.778377532958984,3.7323789596557617,62,heat,1.0,0.0,0.9192062367115521,0.8330016418774021,0.1
5.231208545684559,5.231208545684559,175,0.01911604156605344,0.0,41.87059783935547,3.734583854675293,60,heat,1.0,0.0,0.9794472005669738,0.5275549603049253,0.1
4.65780292691977,4.65780292691977,200,0.02146934972754001,0.0,41.928375244140625,3.7359628677368164,58,heat,1.0,0.0001518141794443601,0.9982282069454288,0.3362486835788278,0.1
0.1966891147508194,4.075050796527829,225,0.024539571404902632,-6.69118065730747e-05,41.97783660888672,3.7371418476104736,56,quench,20.718232433403394,0.0001518141794443601,0.9996456413890857,0.22554201772667515,2.0
0.19383874117476033,4.015996094257005,250,0.024900422623170125,1.5756640226396024e-05,41.512657165527344,3.7259984016418457,55,quench,20.718232433403394,0.0001518141794443601,0.9978738483345145,0.9024281657646093,2.0
0.1913102528421974,3.963610285277818,275,0.025229523793354167,5.3072092145158694e-05,40.286033630371094,3.696004867553711,53,quench,20.718232433403394,0.0,0.9727143869596031,1.4705270100450956,2.0
0.2135759091740233,4.424915328442867,300,0.02259930248997332,5.168902912225414e-05,38.81983184814453,3.658931255340576,52,quench,20.718232433403394,0.0,0.9107016300496102,1.857982367509481,2.0
0.22353397418543347,4.631228833936205,325,0.021592541328822084,4.0904839173023375e-05,37.33660125732422,3.619974136352539,50,quench,20.718232433403394,0.0,0.8373493975903614,2.1376775713527905,2.0
