epoch,train_loss,train_acc,test_acc,epsilon,hidden_eff_rank,hidden_entropy,hidden_k,M_explore,M_nominal,M_eff_tail,M_eff_contract,kappa_tail,kappa_contract,lambda_hybrid,peak_eff_rank,rank_violations,phase,weight_decay,injection_count
1,4.579407025194607,0.007087172218284904,0.009108850766661606,0.22308985828489042,78.29600038150316,4.360496520996094,79,2.302585092994046,0.1,0.051862079272877795,0.1,0.5186207927287779,1.0,0.2,78.29600038150316,0,heat,0.1,1
30,3.3483621432036057,0.15450035435861093,0.0001518141794443601,0.21866921876384238,32.18722189130382,3.471569538116455,37,2.302585092994046,3.0000000000000013,1.637208704883507,0.12001447086298539,0.5206565162457766,0.00690154167689151,0.2,78.29600038150316,1,heat,0.1,30
60,2.019908265134783,0.5056697377746279,0.0004554425383330803,0.22053623967030256,33.25075370085343,3.504077434539795,36,2.302585092994046,5.999999999999995,3.2435638334112005,0.12001447086298539,0.4728675383522707,0.0,0.2,78.29600038150316,2,heat,0.1,60
