source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,parallax_over_error,ruwe,l,b
45613278534255360,63.33618843076984,16.01362598514605,1.7402140976046794,2.1125551369807805,-11.391661654290546,25.680218,59.54402,0.998354,177.6588497137753,-24.747049606257587
45626025997181056,63.34487430378281,16.089673636674146,0.19341798378432953,0.6712299514806437,-1.4322689428508757,-54.333714,7.840429,1.0009629,177.60159176100632,-24.690944899454394
45627022429594880,63.288979787708136,16.11947432211194,3.912746451469129,22.638801215725042,-29.775966984481904,32.53505,224.37967,1.043108,177.53808196621213,-24.711986948787796
45629084013887104,63.32995660680225,16.195362422870964,0.9096987546235258,0.7016255783368819,-4.390450173482119,9.706887,28.26432,1.0428205,177.5034070399272,-24.6325185249719
45631798433222144,63.19922185113252,16.225502034917255,1.9439945275969428,7.671502834093758,-6.552015149392103,36.464073,118.40383,0.919912,177.3877399586804,-24.70748451881508
45676328654070400,62.92483986350617,16.226869415579856,1.1699358767834054,5.777686407664172,0.65769804744647,-9.051558,43.65164,0.99806035,177.19572431089333,-24.905042074862564
45682479047191168,63.20229206173368,16.404486978759106,0.7932410783680811,0.11615009886447991,-6.9679482401150405,-48.86758,44.973545,1.1261376,177.2414168204269,-24.587661636795342
45695192150419456,62.76735921778651,16.434951075442342,1.479569978851882,18.450233337757957,-25.605714224733372,-53.54125,58.676517,1.0829916,176.91342172652784,-24.88131672571517
45709966837871104,63.24091991255761,16.52294555156443,1.0512908596020234,7.030979839563935,-7.189100344340853,20.690407,35.277832,0.99572027,177.17008916397785,-24.481858431397608
45715636194797056,63.56971342783981,16.597262991803667,0.34784275398192654,1.4651219923425516,-0.327291534122641,31.344748,18.993488,0.96917444,177.3356939030593,-24.195363491609424
45732919143081856,63.257356081754544,16.77113778621031,3.502593821932272,-6.779548734203704,-2.927744168405359,4.680605,219.19955,1.0686663,176.9762998732111,-24.306646787036055
45736904872732928,63.14966464188039,16.83384450750859,2.5553211759253736,-2.875050493928333,-11.00667280740712,-45.202454,164.7414,1.0256367,176.84997112533026,-24.342830051639844
45752740416070272,64.25206568967789,16.692500349642366,4.038203457423637,15.436232876488265,3.1908917974236033,27.20413,293.37427,0.9962231,177.72397771435746,-23.638148045237088
45757516420230272,63.82712506600074,16.544382280656546,0.6954593948704914,3.220431876183938,-5.620235038029091,0.18336473,45.282864,1.1712095,177.5564193435537,-24.04343140847509
45764701901391616,63.830103192084344,16.715357195439452,5.7119550127163885,55.50584270074967,-56.51064441442159,59.561516,286.05026,1.0525918,177.41685635145276,-23.929494430738355
45838197381659392,63.62711666325471,17.064845431941727,1.354336761875982,2.8134844591006996,-6.299722990014308,5.9271665,74.11135,1.0780921,176.98897070721642,-23.847000386491235
45843591860574976,63.67447137356671,17.162755595781036,1.1707044686033499,19.484724870428362,-8.832987777139266,47.09964,44.96997,1.0513954,176.94082868016295,-23.74854030349607
45860015815565440,64.01574013781608,17.289782165562475,0.16645128758512526,1.751711471725002,-0.5062050697500251,0.19829023,5.343344,0.94620496,177.0696598509308,-23.41923008049283
45862970753009408,63.83825375290351,17.14203057935083,1.435645410498976,2.117114949568704,5.477179914029103,44.233154,66.649345,1.0167638,177.07011863657286,-23.64411275979367
45863795386725888,63.85615513751592,17.198362551050984,1.182990035894788,-7.253723224419315,-5.4187961076497775,73.3162,39.917004,1.1984112,177.03596013507885,-23.59424974055017
45891970372301440,62.88038147126634,16.620999075223878,1.9047729323817988,14.663665373578956,1.1586400750762067,27.465387,114.50743,0.9973495,176.83849642931,-24.677046294490758
45900800825025280,62.55118469319509,16.6253231114087,1.3074004397909211,4.7266105647294,-6.984282992118729,11.967609,69.10725,1.0379609,176.60486717534374,-24.9105767835364
45905954785780096,62.387704612178986,16.73272273065871,2.340708297534727,-3.1910362267313834,-20.082303895841775,-21.01661,111.56862,1.1725411,176.40162038069727,-24.956304191832015
45980790295834496,62.25629556452973,17.115091336780186,1.9989676593486316,19.76987844398644,-4.426971127216352,116.265915,74.67011,1.0946265,175.99503991764712,-24.79520131270104
45981271332164352,62.343578682477535,17.162064684275073,4.536623808150547,-2.004956767355996,-17.72236726976426,-28.035097,244.90306,1.0704027,176.0178424968568,-24.701743088291185
46006800617756160,62.52192099521193,17.296875197760663,1.2572713274198113,-4.049997563821414,-4.2480275707083335,47.837093,49.536953,0.9442335,176.03232328742712,-24.484911369566365
46042431666550400,63.130872980783856,17.27737247116718,8.53164399556161,49.05490647796165,-19.713547852402336,25.863972,273.57803,1.1064905,176.4719872312611,-24.063219953389616
46059405377341056,63.746132857699585,17.42885183751677,0.698176227106575,2.4240371280984876,9.40865869642896,65.74582,31.372929,1.0086042,176.7711103425501,-23.522014044782395
46062429034323328,63.55609044135267,17.45429121170689,3.5857118052353703,1.3091967237870588,-0.23536584511858405,22.319143,91.02064,1.1420062,176.61992595631386,-23.641680462332687
46064250100451584,63.60011288677807,17.513940391012618,0.9469716021919514,-0.3324206089148758,-3.2243983522181185,-33.216114,39.493298,0.9585239,176.60120139030334,-23.57078135968137
