epoch,train_acc,test_acc,train_loss,functional_defect,class_separation,geometric_defect,explained_variance,functorial_defect_euclidean,functorial_defect_tangent,manifold_curvature,dirichlet_total,dirichlet_within_class,dirichlet_between_class,ridge_ratio,dirichlet_normalized,energy_grad_norm,info_grad_norm,gradient_ratio,tsallis_q,hub_concentration,activation_gini,hessian_trace,hessian_max_eigenvalue,hessian_density_zero,hessian_spectral_gap,hessian_n_negative,phase
1,0.0191353652626276,0.008046151138842106,4.569656848907471,1.0071447071692003,0.02696005545143713,0.8593665361404419,0.2614878714084625,0.7244848529277657,508.73034861034375,0.930911706496161,0.06160416454076767,0.0,0.06160416454076767,inf,0.6630878166525133,"tensor(0.0347, device='cuda:0')","tensor(0.0033, device='cuda:0')","tensor(0.0939, device='cuda:0')",1.2103503187191,0.22153493762016296,0.39944537428203974,,,,,,MEMORIZATION
100,0.8837703466415405,0.0,1.1731231212615967,0.9257727684786784,0.11412073848394856,0.7913130521774292,0.373818576335907,1.0373655183549033,614.2525413068748,0.8867137727431229,118.39598083496094,0.0,118.39598083496094,inf,0.312233810322551,"tensor(0.1473, device='cuda:0')","tensor(0.9454, device='cuda:0')","tensor(6.4176, device='cuda:0')",1.0,0.1296003758907318,0.1489597705069362,,,,,,MEMORIZATION
200,1.0,0.0,0.03826720640063286,0.9103773159506333,0.13239416177591093,0.8044780492782593,0.35280826687812805,0.7385430317767133,994.0483723617164,0.894630491204816,324.2677001953125,0.0,324.2677001953125,inf,0.32681318675024507,"tensor(0.0163, device='cuda:0')","tensor(1.5894, device='cuda:0')","tensor(97.6486, device='cuda:0')",1.0,0.1234227642416954,0.13262743604167115,,,,,,MEMORIZATION
300,1.0,0.0,0.02657288871705532,0.9054284360541281,0.1383950885351764,0.8064051270484924,0.3497074544429779,0.7803588006348181,1609.7853011325424,0.8978340213243277,309.1607666015625,0.0,309.1607666015625,inf,0.3278542930532664,"tensor(0.0121, device='cuda:0')","tensor(1.5635, device='cuda:0')","tensor(129.3258, device='cuda:0')",1.0,0.1222287192940712,0.12709964329213708,,,,,,MEMORIZATION
400,1.0,0.0,0.02093140222132206,0.900919175858548,0.14391969347041614,0.8078818321228027,0.3473219573497772,0.7832159658380763,407.9307825241446,0.900046895188656,296.5295715332031,0.0,296.5295715332031,inf,0.3288539072749045,"tensor(0.0099, device='cuda:0')","tensor(1.5389, device='cuda:0')","tensor(155.0170, device='cuda:0')",1.0,0.12125791609287262,0.12249487741535725,,,,,,MEMORIZATION
500,1.0,0.0,0.01723996177315712,0.8966787761228562,0.14916616427596677,0.8091446161270142,0.34528082609176636,0.9743044956290001,1565.4390514774748,0.8973242240648154,284.124267578125,0.0,284.124267578125,inf,0.32760628300468564,"tensor(0.0084, device='cuda:0')","tensor(1.5195, device='cuda:0')","tensor(179.9189, device='cuda:0')",1.0,0.12039768695831299,0.11857490367974655,24.109120872162748,0.4868231210012376,0.33,0.00024122102214468486,2,MEMORIZATION
600,1.0,0.0,0.014581327326595783,0.8926522230499178,0.15419436893079919,0.8103432059288025,0.3433392643928528,0.7308436097511801,110.60337028638267,0.8965918382006146,268.356689453125,0.0,268.356689453125,inf,0.32690442516997775,"tensor(0.0073, device='cuda:0')","tensor(1.5056, device='cuda:0')","tensor(204.9018, device='cuda:0')",1.0,0.11991341412067413,0.11494513763532943,,,,,,MEMORIZATION
700,1.0,0.0,0.012539948336780071,0.8888591326955632,0.1589728757700319,0.811412513256073,0.3416052758693695,0.8743812197902354,66.62236706471492,0.8987720708101323,260.2312316894531,0.0,260.2312316894531,inf,0.32558603508123074,"tensor(0.0065, device='cuda:0')","tensor(1.4918, device='cuda:0')","tensor(230.8253, device='cuda:0')",1.0,0.11960858851671219,0.11191792593509564,,,,,,MEMORIZATION
800,1.0,0.0,0.010929249227046967,0.885176907189415,0.16365110532202884,0.8124808669090271,0.3398701250553131,0.9146334922974928,644.3183256448395,0.897738667099278,254.5080108642578,0.0,254.5080108642578,inf,0.3284328154526046,"tensor(0.0058, device='cuda:0')","tensor(1.4854, device='cuda:0')","tensor(258.2527, device='cuda:0')",1.0,0.11940343677997589,0.10929310627495847,,,,,,MEMORIZATION
900,1.0,0.0,0.009632611647248268,0.8816906841560458,0.16811604702054955,0.8136200308799744,0.33801543712615967,0.9385520215641313,153.59336112038602,0.9015970441605701,246.7639617919922,0.0,246.7639617919922,inf,0.3259434345480545,"tensor(0.0052, device='cuda:0')","tensor(1.4777, device='cuda:0')","tensor(286.0959, device='cuda:0')",1.0,0.11910949647426605,0.10722767526484556,,,,,,MEMORIZATION
