epoch,train_acc,test_acc,epsilon,hidden_eff_rank,kappa_tail,kappa_grad,M_eff_contract,phase,weight_decay
1,0.00815,0.011386,0.219219,78.2985,0.5765,8.396e-05,0.1,heat,0.1
50,0.323175,0.000607,0.218306,29.9687,0.515739,5.891e-05,0.104175,heat,0.1
100,0.800142,0.000455,0.218113,32.8617,0.623296,2.736e-05,0.105056,heat,0.1
150,0.978738,0.000911,0.220467,36.0033,0.493561,3.66e-06,0.105056,heat,0.1
200,0.998583,0.000911,0.222416,38.641,0.574621,3.441e-05,0.105056,heat,0.1
250,0.999646,0.000759,0.220896,40.3879,0.624722,3.777e-05,0.111911,heat,0.1
300,1.0,0.000759,0.222765,42.0826,0.482445,6.56e-05,0.111911,heat,0.1
350,0.999646,0.000759,0.222823,43.0548,0.528486,0.00017355,0.111911,heat,0.1
400,1.0,0.002277,0.219499,43.9431,0.52113,2.817e-05,0.126941,heat,0.1
450,1.0,0.002884,0.222728,44.4864,0.561303,9.397e-05,0.126941,heat,0.1
500,1.0,0.003795,0.222135,44.3133,0.420339,2.94e-05,0.129607,heat,0.1
550,1.0,0.003492,0.222383,44.0849,0.533465,9.184e-05,0.129607,heat,0.1
600,1.0,0.005769,0.217489,42.7663,0.474187,5.238e-05,0.151858,heat,0.1
650,1.0,0.011386,0.218593,41.799,0.562609,2.896e-05,0.151858,heat,0.1
700,1.0,0.021102,0.219334,40.9443,0.54323,6.819e-05,0.151858,heat,0.1
750,1.0,0.034158,0.215187,41.1396,0.619496,3.09e-05,0.170947,heat,0.1
800,1.0,0.0586,0.220459,40.2435,0.508321,2.028e-05,0.170947,heat,0.1
850,1.0,0.109762,0.219296,39.279,0.636163,2.754e-05,0.176236,heat,0.1
900,1.0,0.149841,0.217039,39.1311,0.603463,1.757e-05,0.186582,heat,0.1
950,1.0,0.212084,0.215392,37.9686,0.490167,5.173e-05,0.194197,heat,0.1
1000,1.0,0.334598,0.220701,36.397,0.533748,6.133e-05,0.194197,heat,0.1
1050,1.0,0.466221,0.217291,35.2912,0.552424,4.563e-05,0.209768,heat,0.1
1100,1.0,0.551996,0.216199,33.7624,0.58108,4.706e-05,0.214808,heat,0.1
1150,1.0,0.6569,0.2151,31.462,0.564273,7.79e-06,0.219901,heat,0.1
1200,1.0,0.708061,0.218329,30.2707,0.511487,2.757e-05,0.219901,heat,0.1
1250,1.0,0.666464,0.214809,29.3711,0.519805,3.414e-05,0.236153,heat,0.1
1300,1.0,0.859116,0.221923,28.2196,0.562697,7.17e-06,0.236153,heat,0.1
1350,1.0,0.838622,0.217891,28.3748,0.578103,0.00014857,0.254487,heat,0.1
1400,1.0,0.817064,0.222741,27.218,0.571878,2.257e-05,0.254487,heat,0.1
1450,1.0,0.930014,0.220617,26.3541,0.548051,1.435e-05,0.264067,heat,0.1
1500,1.0,0.857598,0.216076,25.5987,0.53539,1.61e-06,0.284866,heat,0.1
1550,1.0,0.926218,0.220089,24.9935,0.505622,5.38e-06,0.284866,heat,0.1
1600,1.0,0.979201,0.216076,24.0189,0.564387,1.26e-05,0.303267,heat,0.1
1650,1.0,0.963565,0.217682,23.9757,0.516856,7.44e-05,0.303267,heat,0.1
