epoch,train_acc,test_acc,epsilon,hidden_eff_rank,kappa_tail,kappa_grad,M_eff_contract,phase,weight_decay
1,0.007442,0.00835,0.216929,77.0109,0.502317,3.398e-05,0.1,heat,0.1
50,0.338412,0.000455,0.21874,31.3645,0.507022,1.947e-05,0.1,heat,0.1
100,0.847626,0.000455,0.217806,34.8057,0.500831,0.00016154,0.10428,heat,0.1
150,0.989015,0.0,0.221345,38.2899,0.498849,6.19e-05,0.10428,heat,0.1
200,0.999291,0.000607,0.220391,40.7094,0.504983,2.144e-05,0.108599,heat,0.1
250,0.996102,0.000152,0.221357,42.7694,0.50158,8.86e-06,0.108599,heat,0.1
300,0.998937,0.000304,0.222936,44.6935,0.502221,1.614e-05,0.108599,heat,0.1
350,0.999646,0.000759,0.218789,46.0815,0.504204,7.116e-05,0.127373,heat,0.1
400,1.0,0.000304,0.222885,46.8558,0.500296,7.483e-05,0.127373,heat,0.1
450,0.999646,0.000911,0.220026,47.9609,0.504129,6.585e-05,0.140284,heat,0.1
500,1.0,0.001063,0.222753,48.4777,0.500975,5.725e-05,0.140284,heat,0.1
550,0.998583,0.001518,0.223322,48.1401,0.497869,2.368e-05,0.140284,heat,0.1
600,1.0,0.001974,0.221328,47.7071,0.502435,5.172e-05,0.14925,heat,0.1
650,0.998937,0.002429,0.220595,47.9568,0.498961,0.00013823,0.152568,heat,0.1
700,1.0,0.004251,0.218109,47.0195,0.504284,7.363e-05,0.163902,heat,0.1
750,1.0,0.007439,0.221691,46.3702,0.499258,0.00011356,0.163902,heat,0.1
800,0.999646,0.006832,0.217957,45.4828,0.499627,4.823e-05,0.180888,heat,0.1
850,1.0,0.010627,0.220993,44.1855,0.499538,7.059e-05,0.180888,heat,0.1
900,1.0,0.017459,0.215459,43.5991,0.500828,0.00011492,0.20625,heat,0.1
950,1.0,0.034765,0.216639,42.3009,0.499979,1.464e-05,0.20625,heat,0.1
1000,1.0,0.047518,0.222601,40.5754,0.503442,0.00021117,0.20625,heat,0.1
1050,1.0,0.079247,0.219055,38.906,0.50384,7.995e-05,0.222311,heat,0.1
1100,1.0,0.14225,0.223427,37.1654,0.499579,7.37e-06,0.222311,heat,0.1
1150,1.0,0.266586,0.219071,34.8929,0.507679,0.00019109,0.241999,heat,0.1
1200,0.999646,0.344163,0.219554,33.0882,0.505965,2.189e-05,0.241999,heat,0.1
1250,1.0,0.5063,0.218799,31.2793,0.505088,0.00010869,0.245445,heat,0.1
1300,1.0,0.500228,0.217266,29.8516,0.498827,9.18e-06,0.252476,heat,0.1
1350,1.0,0.710339,0.218024,28.1166,0.504914,8.063e-05,0.252476,heat,0.1
1400,1.0,0.693032,0.222079,27.2691,0.503738,3.54e-06,0.252476,heat,0.1
1450,1.0,0.754365,0.218104,26.5443,0.505523,7.706e-05,0.270539,heat,0.1
1500,1.0,0.798087,0.223223,25.8845,0.500391,5.086e-05,0.270539,heat,0.1
1550,1.0,0.810232,0.215343,25.2941,0.505404,1.301e-05,0.306477,heat,0.1
1600,1.0,0.773797,0.223221,24.5205,0.50134,0.00012084,0.306477,heat,0.1
1650,1.0,0.82344,0.21503,24.2713,0.501681,5.424e-05,0.343863,heat,0.1
1700,1.0,0.855625,0.215507,23.819,0.503323,6.068e-05,0.343863,heat,0.1
1750,0.997519,0.926977,0.220163,23.343,0.502789,8.316e-05,0.343863,heat,0.1
1800,1.0,0.900562,0.217852,22.7754,0.498274,1.944e-05,0.354414,heat,0.1
1850,1.0,0.8954,0.218326,22.5395,0.504165,3.686e-05,0.354414,heat,0.1
1900,1.0,0.965994,0.219962,22.4337,0.501682,0.00013216,0.354414,heat,0.1
1950,1.0,0.954911,0.22143,22.2405,0.498034,0.00011046,0.354414,heat,0.1
2000,1.0,0.908304,0.222143,22.3638,0.499157,9.661e-05,0.354414,heat,0.1
