epoch,train_acc,test_acc,epsilon,hidden_eff_rank,kappa_tail,kappa_grad,M_eff_contract,phase,weight_decay
1,0.009213,0.010475,0.220736,77.8015,0.536637,1.48e-05,0.1,heat,0.1
50,0.350461,0.000152,0.217837,32.1907,0.555126,7.206e-05,0.113221,heat,0.1
100,0.830971,0.000607,0.218591,34.8475,0.517162,5.149e-05,0.113221,heat,0.1
150,0.981219,0.000759,0.217612,37.2809,0.529263,4.615e-05,0.11771,heat,0.1
200,0.996811,0.000304,0.222962,38.6402,0.530054,6.625e-05,0.11771,heat,0.1
250,0.996811,0.000455,0.218723,39.9827,0.575291,1.855e-05,0.136905,heat,0.1
300,0.999646,0.000759,0.215068,41.4028,0.516791,1.856e-05,0.153756,heat,0.1
350,0.998937,0.000759,0.217879,42.3518,0.525929,1.999e-05,0.153756,heat,0.1
400,1.0,0.002277,0.222974,42.5838,0.616183,8.013e-05,0.153756,heat,0.1
450,1.0,0.002429,0.220732,42.8874,0.507221,4.21e-05,0.163863,heat,0.1
500,0.998937,0.003795,0.218179,42.7101,0.518973,5.744e-05,0.175495,heat,0.1
550,0.999646,0.004251,0.21959,42.6018,0.511379,3.417e-05,0.175495,heat,0.1
600,0.999291,0.008805,0.21809,42.5049,0.431291,2.448e-05,0.182352,heat,0.1
650,1.0,0.011234,0.220228,43.0926,0.576368,9.296e-05,0.182352,heat,0.1
700,1.0,0.018673,0.218602,43.219,0.610947,5.527e-05,0.189763,heat,0.1
750,1.0,0.025049,0.217568,42.7147,0.54565,0.00015168,0.194505,heat,0.1
800,1.0,0.041901,0.222281,42.3559,0.568647,7.502e-05,0.194505,heat,0.1
850,1.0,0.069227,0.221686,41.0106,0.521162,3.05e-06,0.197183,heat,0.1
900,1.0,0.132382,0.215556,38.7213,0.553764,4.055e-05,0.225225,heat,0.1
950,1.0,0.143616,0.222158,37.3587,0.479827,3.61e-05,0.225225,heat,0.1
1000,1.0,0.187187,0.214916,35.8371,0.555064,3.37e-06,0.258363,heat,0.1
1050,1.0,0.271444,0.222301,34.4616,0.639935,1.378e-05,0.258363,heat,0.1
1100,0.999646,0.347958,0.22028,33.8334,0.495768,3.136e-05,0.267493,heat,0.1
1150,1.0,0.409291,0.218787,32.3346,0.513615,6.258e-05,0.274298,heat,0.1
1200,1.0,0.476089,0.216493,31.6093,0.563501,5.208e-05,0.284835,heat,0.1
1250,1.0,0.612418,0.215643,30.944,0.525171,1.972e-05,0.288769,heat,0.1
1300,1.0,0.655837,0.221263,30.441,0.598653,6.71e-05,0.288769,heat,0.1
1350,1.0,0.745104,0.218171,29.6575,0.509653,1.597e-05,0.302842,heat,0.1
1400,1.0,0.755883,0.222397,28.6906,0.524473,8.572e-05,0.302842,heat,0.1
1450,1.0,0.863064,0.220068,28.1292,0.538585,2.196e-05,0.313368,heat,0.1
1500,1.0,0.834674,0.218005,27.63,0.479201,3.767e-05,0.322787,heat,0.1
1550,1.0,0.908152,0.214456,26.559,0.532944,6.364e-05,0.3392,heat,0.1
1600,1.0,0.899651,0.214421,25.8703,0.530245,3.65e-06,0.339362,heat,0.1
1650,1.0,0.942766,0.219142,25.6382,0.580801,3.198e-05,0.339362,heat,0.1
1700,1.0,0.906027,0.213255,25.4955,0.508586,1.36e-05,0.366597,heat,0.1
1750,1.0,0.961136,0.21211,25.0991,0.542282,2.181e-05,0.371978,heat,0.1
1800,1.0,0.93138,0.220218,24.8342,0.506575,2.513e-05,0.371978,heat,0.1
1850,1.0,0.949294,0.223308,24.4906,0.603557,0.00010038,0.371978,heat,0.1
