epoch,train_acc,test_acc,epsilon,hidden_eff_rank,kappa_tail,kappa_grad,M_eff_contract,phase,weight_decay
1,0.007087,0.009109,0.220396,78.1659,0.507515,3.577e-05,0.1,heat,0.1
50,0.355422,0.000152,0.220898,32.1031,0.503981,4.36e-06,0.1,heat,0.1
100,0.876683,0.000304,0.218894,35.254,0.500316,4.919e-05,0.109111,heat,0.1
150,0.98618,0.001215,0.22246,38.2371,0.50168,0.00011462,0.109111,heat,0.1
200,0.998228,0.001063,0.217752,40.2069,0.507345,2.066e-05,0.130499,heat,0.1
250,0.998228,0.000455,0.219487,41.6034,0.500454,2.686e-05,0.130499,heat,0.1
300,1.0,0.001063,0.217736,43.0444,0.501845,4.167e-05,0.138509,heat,0.1
350,1.0,0.00167,0.218728,43.8159,0.504547,1.502e-05,0.138509,heat,0.1
400,0.997165,0.00167,0.2234,44.5374,0.507392,4.823e-05,0.138509,heat,0.1
450,1.0,0.001518,0.218529,44.4791,0.502658,1.681e-05,0.160552,heat,0.1
500,1.0,0.002581,0.216267,44.8989,0.501427,9.102e-05,0.170961,heat,0.1
550,1.0,0.004403,0.222814,44.6607,0.504588,0.00010751,0.170961,heat,0.1
600,1.0,0.003795,0.219463,43.9053,0.50457,1.584e-05,0.186117,heat,0.1
650,1.0,0.008805,0.223462,43.5613,0.501938,2.537e-05,0.186117,heat,0.1
700,1.0,0.012297,0.219155,43.2342,0.503666,5.984e-05,0.205579,heat,0.1
750,1.0,0.029452,0.217999,42.3157,0.497433,2.77e-05,0.210869,heat,0.1
800,1.0,0.063307,0.222289,40.4148,0.502553,0.0001499,0.210869,heat,0.1
850,0.998937,0.079854,0.219047,38.459,0.502931,4.464e-05,0.22556,heat,0.1
900,1.0,0.114012,0.220309,36.3751,0.499359,2.201e-05,0.22556,heat,0.1
950,1.0,0.196751,0.219838,34.2307,0.504533,6.62e-06,0.227702,heat,0.1
1000,1.0,0.218461,0.218145,33.015,0.501028,8.53e-06,0.235431,heat,0.1
1050,1.0,0.259299,0.215412,31.6646,0.504913,0.00012826,0.24804,heat,0.1
1100,1.0,0.396387,0.216877,29.5356,0.503433,4.448e-05,0.24804,heat,0.1
1150,1.0,0.531805,0.215967,27.8128,0.498296,5.217e-05,0.252243,heat,0.1
1200,0.999646,0.599362,0.218341,26.4271,0.500393,2.172e-05,0.252243,heat,0.1
1250,1.0,0.703051,0.219537,24.9911,0.49934,2.567e-05,0.252243,heat,0.1
1300,1.0,0.775163,0.216723,24.1665,0.499817,2.985e-05,0.265146,heat,0.1
1350,1.0,0.725824,0.215457,23.5108,0.497593,3.126e-05,0.271001,heat,0.1
1400,1.0,0.814787,0.215496,23.0401,0.503194,3.594e-05,0.271001,heat,0.1
1450,1.0,0.825717,0.215198,22.7732,0.50338,1.587e-05,0.272388,heat,0.1
1500,1.0,0.808714,0.217373,22.6018,0.497496,9.689e-05,0.272388,heat,0.1
1550,1.0,0.855321,0.221213,22.8812,0.498316,1.906e-05,0.272388,heat,0.1
1600,1.0,0.851829,0.218149,23.2281,0.499191,1.872e-05,0.286333,heat,0.1
1650,1.0,0.824806,0.216625,22.7122,0.499512,4.666e-05,0.293346,heat,0.1
1700,1.0,0.900714,0.217682,22.2922,0.503961,7.158e-05,0.293346,heat,0.1
1750,1.0,0.882344,0.220389,22.0922,0.50257,0.00010405,0.293346,heat,0.1
1800,1.0,0.936086,0.221383,21.5632,0.498582,5e-05,0.293346,heat,0.1
1850,0.998937,0.881889,0.219115,21.5428,0.506765,6.575e-05,0.303645,heat,0.1
1900,1.0,0.938971,0.216147,21.3056,0.500841,3.054e-05,0.317286,heat,0.1
1950,1.0,0.946865,0.221759,21.1887,0.508846,4.741e-05,0.317286,heat,0.1
2000,1.0,0.93806,0.212771,20.6229,0.492529,1.058e-05,0.358662,heat,0.1
