epoch,train_acc,test_acc,epsilon,hidden_eff_rank,kappa_tail,kappa_grad,M_eff_contract,phase,weight_decay
1,0.00815,0.011386,0.219254,78.3819,0.540543,0.00013144,0.1,heat,0.1
50,0.343373,0.000759,0.219032,31.0014,0.468499,0.00010103,0.101011,heat,0.1
100,0.829908,0.000455,0.217255,34.1392,0.563182,1.25e-05,0.109158,heat,0.1
150,0.984408,0.0,0.215739,37.6008,0.4311,2.609e-05,0.116162,heat,0.1
200,0.997519,0.000607,0.22246,40.1506,0.520939,2.329e-05,0.116162,heat,0.1
250,0.998583,0.000759,0.218197,41.8179,0.560171,3.19e-05,0.135512,heat,0.1
300,0.999291,0.000607,0.218776,42.9413,0.487582,6.19e-05,0.135512,heat,0.1
350,0.999291,0.000759,0.222036,44.3527,0.508452,5.38e-06,0.135512,heat,0.1
400,0.999646,0.001063,0.220418,45.438,0.505068,2.844e-05,0.142826,heat,0.1
450,1.0,0.002125,0.217567,46.3322,0.522152,4.77e-05,0.155848,heat,0.1
500,1.0,0.000911,0.21947,46.6873,0.383047,2.444e-05,0.155848,heat,0.1
550,0.999646,0.001215,0.221786,46.5247,0.514536,1.582e-05,0.155848,heat,0.1
600,1.0,0.002277,0.222015,46.1425,0.416663,1.49e-05,0.155848,heat,0.1
650,1.0,0.004251,0.215587,44.9655,0.530649,5.578e-05,0.185231,heat,0.1
700,1.0,0.007287,0.218194,43.5517,0.518256,1.194e-05,0.185231,heat,0.1
750,0.999646,0.0167,0.219054,42.5502,0.595724,1.009e-05,0.185231,heat,0.1
800,1.0,0.025353,0.21648,41.3552,0.481753,7.45e-05,0.197054,heat,0.1
850,1.0,0.031577,0.215839,40.6121,0.550343,2.863e-05,0.20002,heat,0.1
900,1.0,0.045392,0.216516,40.1074,0.559387,2.337e-05,0.20002,heat,0.1
950,1.0,0.076514,0.217882,39.2057,0.474627,7.45e-05,0.20002,heat,0.1
1000,1.0,0.119478,0.216093,37.8096,0.49793,9.376e-05,0.208263,heat,0.1
1050,1.0,0.178078,0.215811,36.3602,0.523498,8.5e-05,0.209572,heat,0.1
1100,0.999646,0.246091,0.215516,35.2987,0.519951,9.164e-05,0.21094,heat,0.1
1150,1.0,0.316988,0.215364,33.4468,0.518952,0.00012184,0.211643,heat,0.1
1200,1.0,0.415667,0.22039,32.3698,0.482117,3.895e-05,0.211643,heat,0.1
1250,1.0,0.483225,0.220108,30.2427,0.481368,7.407e-05,0.212922,heat,0.1
1300,1.0,0.676484,0.217763,29.1936,0.552446,6.473e-05,0.223634,heat,0.1
1350,1.0,0.737817,0.221865,28.1673,0.533696,1.71e-05,0.223634,heat,0.1
1400,1.0,0.752543,0.217308,27.2603,0.482188,6.331e-05,0.244387,heat,0.1
1450,1.0,0.845453,0.222402,25.8987,0.50332,2.935e-05,0.244387,heat,0.1
1500,0.999646,0.827084,0.218078,24.9635,0.510738,7.33e-06,0.264023,heat,0.1
1550,1.0,0.86443,0.216506,24.5316,0.473912,1.982e-05,0.271258,heat,0.1
1600,1.0,0.895096,0.223195,24.4996,0.530652,6.723e-05,0.271258,heat,0.1
1650,1.0,0.897525,0.218827,24.6973,0.494624,2.79e-05,0.291021,heat,0.1
1700,1.0,0.873994,0.221016,24.1877,0.598825,1.355e-05,0.291021,heat,0.1
1750,1.0,0.875057,0.221779,23.6589,0.429731,9.886e-05,0.291021,heat,0.1
1800,1.0,0.908304,0.214383,23.4328,0.486768,3.592e-05,0.324936,heat,0.1
1850,1.0,0.861697,0.215022,23.1386,0.467685,7.129e-05,0.324936,heat,0.1
1900,1.0,0.93138,0.221893,23.3497,0.510646,1.772e-05,0.324936,heat,0.1
1950,1.0,0.940944,0.214211,22.7831,0.485053,4.851e-05,0.360166,heat,0.1
2000,1.0,0.960528,0.217703,22.6248,0.538385,0.00010013,0.360166,heat,0.1
2050,0.999291,0.920753,0.218369,22.732,0.492561,3.484e-05,0.360166,heat,0.1
2100,1.0,0.948231,0.220944,22.4181,0.502091,1.127e-05,0.360166,heat,0.1
