epoch,train_acc,test_acc,epsilon,hidden_eff_rank,kappa_tail,kappa_grad,M_eff_contract,phase,weight_decay
1,0.00815,0.011538,0.217007,78.1567,0.49629,3.778e-05,0.1,heat,0.1
50,0.319986,0.000304,0.219193,31.4638,0.508142,0.00014096,0.1,heat,0.1
100,0.826719,0.000455,0.221604,35.0774,0.49567,5.939e-05,0.1,heat,0.1
150,0.986889,0.000759,0.220448,38.1514,0.501639,4.726e-05,0.10523,heat,0.1
200,0.998583,0.000455,0.222563,41.2306,0.497984,3.221e-05,0.10523,heat,0.1
250,0.998937,0.000607,0.218308,42.7448,0.505896,4.118e-05,0.124536,heat,0.1
300,0.999291,0.000759,0.219233,43.8375,0.501926,8.991e-05,0.124536,heat,0.1
350,1.0,0.000304,0.216884,44.5428,0.501284,6.042e-05,0.135307,heat,0.1
400,1.0,0.001366,0.216593,45.6051,0.499424,4e-05,0.136651,heat,0.1
450,0.999646,0.001366,0.21707,46.9029,0.504478,1.79e-05,0.136651,heat,0.1
500,1.0,0.001366,0.222784,47.1915,0.50035,1.124e-05,0.136651,heat,0.1
550,1.0,0.003036,0.221252,46.6357,0.503748,0.00012386,0.143552,heat,0.1
600,1.0,0.002581,0.221376,46.3906,0.497204,8.2e-05,0.143552,heat,0.1
650,1.0,0.005617,0.217805,45.6034,0.499444,3.21e-05,0.159814,heat,0.1
700,1.0,0.006376,0.2208,45.0725,0.505809,9.377e-05,0.159814,heat,0.1
750,1.0,0.013663,0.222758,43.6922,0.502526,4.398e-05,0.159814,heat,0.1
800,0.999646,0.017003,0.22212,41.2883,0.502734,2.448e-05,0.162682,heat,0.1
850,1.0,0.030059,0.222624,39.8064,0.503851,1.983e-05,0.162682,heat,0.1
900,1.0,0.05025,0.216114,38.419,0.499553,3.003e-05,0.19236,heat,0.1
950,1.0,0.08957,0.215824,37.3255,0.499815,5.324e-05,0.193702,heat,0.1
1000,1.0,0.135722,0.222994,35.9866,0.499132,1.687e-05,0.193702,heat,0.1
1050,1.0,0.149233,0.223315,33.5558,0.502205,6.986e-05,0.193702,heat,0.1
1100,1.0,0.284652,0.216466,31.7673,0.496523,4.874e-05,0.224853,heat,0.1
1150,0.999646,0.401852,0.220616,29.7575,0.502251,2.648e-05,0.224853,heat,0.1
1200,1.0,0.513436,0.220386,27.8341,0.506521,6.171e-05,0.225896,heat,0.1
1250,1.0,0.540003,0.219237,26.1839,0.502603,4.706e-05,0.231122,heat,0.1
1300,1.0,0.708972,0.22129,25.0195,0.498031,2.408e-05,0.231122,heat,0.1
1350,1.0,0.729923,0.216698,24.3169,0.503726,0.00012321,0.252091,heat,0.1
1400,1.0,0.72385,0.221531,23.7336,0.504872,0.0001063,0.252091,heat,0.1
1450,1.0,0.754061,0.220523,22.8389,0.503455,0.00012683,0.256654,heat,0.1
1500,0.998583,0.781084,0.219218,22.1967,0.499497,3.034e-05,0.262589,heat,0.1
1550,1.0,0.84348,0.221635,22.0659,0.501571,1.503e-05,0.262589,heat,0.1
1600,1.0,0.867618,0.215006,21.7902,0.50029,5.836e-05,0.292953,heat,0.1
1650,1.0,0.833915,0.217584,21.6021,0.504914,9.487e-05,0.292953,heat,0.1
1700,0.999291,0.869895,0.215968,21.4284,0.491093,7.858e-05,0.300407,heat,0.1
1750,0.999646,0.879763,0.218899,21.2358,0.504427,0.00012335,0.300407,heat,0.1
1800,1.0,0.891756,0.222024,20.983,0.504814,2.057e-05,0.300407,heat,0.1
1850,1.0,0.873083,0.219778,20.926,0.498238,4.237e-05,0.310574,heat,0.1
1900,1.0,0.91377,0.217271,21.2278,0.502813,9.84e-05,0.322046,heat,0.1
1950,1.0,0.902232,0.215356,21.3183,0.503103,4.254e-05,0.3309,heat,0.1
2000,1.0,0.936542,0.217295,20.9945,0.499209,5.272e-05,0.3309,heat,0.1
2050,1.0,0.87111,0.216699,20.4517,0.504746,5.863e-05,0.333647,heat,0.1
2100,1.0,0.94474,0.218574,20.1208,0.499806,8.66e-05,0.333647,heat,0.1
2150,1.0,0.942159,0.215307,20.1535,0.502801,0.00013648,0.348709,heat,0.1
2200,1.0,0.914073,0.220283,19.8413,0.50211,7.91e-06,0.348709,heat,0.1
2250,1.0,0.917717,0.220176,19.9745,0.50309,4.402e-05,0.349192,heat,0.1
