epoch,train_acc,test_acc,epsilon,hidden_eff_rank,kappa_tail,kappa_grad,M_eff_contract,phase,weight_decay
1,0.007087,0.009109,0.223141,78.3322,0.493735,0.00010469,0.1,heat,0.1
50,0.355776,0.000304,0.218115,31.6461,0.458222,7.322e-05,0.122783,heat,0.1
100,0.864281,0.000152,0.221626,35.0962,0.484274,3.871e-05,0.122783,heat,0.1
150,0.979802,0.000759,0.219884,38.8996,0.50319,2.598e-05,0.130675,heat,0.1
200,0.998228,0.000304,0.219393,41.492,0.497808,5.513e-05,0.132912,heat,0.1
250,0.997874,0.0,0.216391,43.2176,0.517008,5.326e-05,0.146689,heat,0.1
300,1.0,0.000152,0.216754,44.64,0.537611,5.826e-05,0.146689,heat,0.1
350,0.999646,0.000759,0.218291,46.2348,0.58527,5.499e-05,0.146689,heat,0.1
400,0.999646,0.000607,0.222073,47.101,0.508236,4.285e-05,0.146689,heat,0.1
450,1.0,0.000455,0.22241,47.2192,0.50055,8.028e-05,0.146689,heat,0.1
500,0.998937,0.001063,0.216291,47.3327,0.524507,1.958e-05,0.174585,heat,0.1
550,1.0,0.001063,0.21774,47.7533,0.549305,1.958e-05,0.174585,heat,0.1
600,1.0,0.001215,0.220304,47.9936,0.536867,3.059e-05,0.174585,heat,0.1
650,0.999646,0.003188,0.220085,47.8595,0.521743,9.803e-05,0.175581,heat,0.1
700,1.0,0.004403,0.218708,47.5506,0.543418,1.909e-05,0.18186,heat,0.1
750,0.999646,0.009412,0.216755,47.0316,0.45707,3.417e-05,0.190828,heat,0.1
800,1.0,0.020799,0.221282,45.1629,0.497473,2.774e-05,0.190828,heat,0.1
850,1.0,0.029604,0.219804,43.8317,0.496646,0.00021113,0.197529,heat,0.1
900,0.999291,0.05359,0.222717,41.4376,0.483941,3e-05,0.197529,heat,0.1
950,0.999646,0.114164,0.222214,39.1318,0.472293,3.903e-05,0.19979,heat,0.1
1000,1.0,0.21421,0.220554,36.7065,0.508067,2.82e-06,0.20729,heat,0.1
1050,1.0,0.274784,0.220026,34.6421,0.5176,1.651e-05,0.209685,heat,0.1
1100,1.0,0.390466,0.221949,32.3685,0.537639,3.284e-05,0.209685,heat,0.1
1150,1.0,0.496281,0.218927,30.6883,0.444288,0.00014596,0.223396,heat,0.1
1200,1.0,0.630029,0.216425,28.9356,0.490974,0.00033994,0.234888,heat,0.1
1250,1.0,0.750569,0.221743,27.0662,0.56721,2.3e-05,0.234888,heat,0.1
1300,1.0,0.851678,0.221485,25.696,0.540649,6.804e-05,0.236051,heat,0.1
1350,1.0,0.824958,0.217382,25.11,0.470712,7.559e-05,0.254751,heat,0.1
1400,1.0,0.901624,0.214956,24.4821,0.498098,7.087e-05,0.265972,heat,0.1
1450,1.0,0.878549,0.221414,23.8569,0.532916,8.321e-05,0.265972,heat,0.1
1500,1.0,0.913466,0.22,23.3849,0.478735,5.522e-05,0.272379,heat,0.1
1550,1.0,0.93472,0.215998,23.0249,0.514654,4.994e-05,0.290734,heat,0.1
1600,1.0,0.956885,0.216087,22.9642,0.503489,0.00014692,0.290734,heat,0.1
1650,1.0,0.890694,0.219428,22.7505,0.540704,4.599e-05,0.290734,heat,0.1
1700,1.0,0.92971,0.221546,22.8437,0.477455,2.993e-05,0.290734,heat,0.1
