T_explore,epoch,epsilon,epsilon_derivative,hidden_eff_rank,hidden_entropy,phase,test_acc,train_acc,train_loss,weight_decay
1.9372601083685572,1,0.05161929447058812,0.0,78.16313171386719,4.358798027038574,heat,0.0,0,0,0.1
1.8261310753935442,10,0.05476058172792952,0.0,75.63082122802734,4.325863838195801,heat,0.008501594048884165,0.014528703047484054,4.5395168568714555,0.1
1.2753424179360928,20,0.07841031443291255,0.0,62.63082504272461,4.1372575759887695,heat,0.0012145134355548808,0.04394046775336641,4.41962841467854,0.1
1.0412786094508082,30,0.09603577668107681,0.0,47.736427307128906,3.865694761276245,heat,0.0006072567177774404,0.08965272856130405,4.071355969072824,0.1
1.1280583592573474,40,0.0886478958994946,0.0,42.62641143798828,3.752474308013916,heat,0.0003036283588887202,0.13571934798015592,3.661871625040542,0.1
1.2423158149930953,50,0.08049482973100186,0.0,41.794986724853516,3.732776403427124,quench,0.0001518141794443601,0.18674698795180722,3.3207464454699545,2.0
1.3458644970630085,60,0.07430168506430136,0.0,40.89969253540039,3.711122512817383,quench,0.0001518141794443601,0.23777462792345855,3.2298671543640416,2.0
1.4659335424092605,70,0.06821591641572652,0.0,39.55491638183594,3.677690029144287,quench,0.0003036283588887202,0.2639971651311127,3.180474973924611,2.0
1.4922315619757724,80,0.06701372799513511,0.0,38.27497863769531,3.644796371459961,quench,0.0003036283588887202,0.2838412473423104,3.142782961874461,2.0
1.5793781201438224,90,0.06331606011541666,3.834327146061829e-05,37.12408447265625,3.6142659187316895,quench,0.0001518141794443601,0.2930545712260808,3.112788691578141,2.0
1.6511929261381433,100,0.06056227495710197,-0.00016123870770159342,36.08952331542969,3.5860025882720947,quench,0.0001518141794443601,0.30758327427356486,3.089611255725506,2.0
