T_explore_epochs,T_explore_markov,epoch,epsilon,epsilon_derivative,hidden_eff_rank,hidden_entropy,hidden_k,phase,tau,test_acc,train_acc,train_loss,weight_decay
1.9372601083685572,1.9372601083685572,1,0.05161929447058812,0.0,78.16313171386719,4.358798027038574,78,heat,1.0,0.0,0,0,0.1
2.0668221769608333,2.0668221769608333,10,0.048383456068313235,0.0,75.63082122802734,4.325863838195801,78,heat,1.0,0.008501594048884165,0.014528703047484054,4.5395168568714555,0.1
2.5619635776702774,2.5619635776702774,20,0.03903256114629664,0.0,62.63082504272461,4.1372575759887695,76,heat,1.0,0.0012145134355548808,0.04394046775336641,4.41962841467854,0.1
3.686362091352762,3.686362091352762,30,0.02712701506848005,0.0,47.736427307128906,3.865694761276245,74,heat,1.0,0.0006072567177774404,0.08965272856130405,4.071355969072824,0.1
4.151892409351788,4.151892409351788,40,0.02408540254433338,0.0,42.62641143798828,3.752474308013916,70,heat,1.0,0.0003036283588887202,0.13571934798015592,3.661871625040542,0.1
4.483933728567463,4.483933728567463,50,0.02230184611402547,0.0,41.794986724853516,3.732776403427124,68,heat,1.0,0.0001518141794443601,0.18674698795180722,3.3207464454699545,0.1
4.353740569172122,4.353740569172122,60,0.02296875489276462,0.0,41.8355598449707,3.7337467670440674,65,heat,1.0,0.0003036283588887202,0.2547838412473423,3.0109248666540265,0.1
4.299560205271636,4.299560205271636,70,0.02325819275129379,0.0,42.02737808227539,3.738321304321289,63,heat,1.0,0.0004554425383330803,0.32955350815024803,2.7173176071983463,0.1
4.124197677889965,4.124197677889965,80,0.02424714036771446,0.0,42.1750373840332,3.741828441619873,61,heat,1.0,0.0001518141794443601,0.40042523033309707,2.429303594213441,0.1
0.8344750524946467,3.858964341763291,90,0.025913688529784817,-0.00029977682023357585,42.31572341918945,3.7451586723327637,59,heat,4.624421461404979,0.0003036283588887202,0.4890148830616584,2.149909222066867,0.1
0.4486357564239928,3.5440893394665176,100,0.02821599300176015,-0.0001754868909204634,42.36875915527344,3.7464113235473633,57,heat,7.899703241925952,0.0003036283588887202,0.5829199149539334,1.8863662240523806,0.1
0.10078351014005418,3.4425056889210404,110,0.02904860849520986,-4.058544107876739e-05,42.373592376708984,3.746525287628174,56,heat,34.15742996187719,0.0001518141794443601,0.6640680368532955,1.63469878204489,0.1
0.09077586471662225,3.1006702412868634,120,0.0322510916086637,7.288097786905539e-05,42.413047790527344,3.7474560737609863,54,heat,34.15742996187719,0.0001518141794443601,0.7501771793054571,1.4029742480169198,0.1
0.08660456604639521,2.958189399108512,130,0.03380446161768286,0.0001236699800292764,42.39437484741211,3.7470157146453857,53,heat,34.15742996187719,0.0001518141794443601,0.8189227498228207,1.1946053532824121,0.1
0.08084629661112458,2.7615017141716374,140,0.03621218103425904,0.00015922070575626526,42.470855712890625,3.7488181591033936,52,heat,34.15742996187719,0.0001518141794443601,0.8653437278525868,1.0073645484101088,0.1
0.07594563886978793,2.5941078406047993,150,0.03854889855954703,0.00018092766179498375,42.5082893371582,3.749699115753174,51,heat,34.15742996187719,0.0001518141794443601,0.9036144578313253,0.8458930159781015,0.1
0.0714966446217542,2.442141631176793,160,0.04094766606628506,0.00020047146585535668,42.51797866821289,3.749927043914795,50,heat,34.15742996187719,0.0001518141794443601,0.9472005669737774,0.7027786244829017,0.1
0.06717773293811821,2.2946187078314635,170,0.04358022518456032,0.00021451164940740079,42.522315979003906,3.7500290870666504,49,heat,34.15742996187719,0.0,0.97413182140326,0.5853668631686123,0.1
0.06688682939112107,2.284682190299247,180,0.0437697638755183,0.00021154589788836394,42.54872512817383,3.750649929046631,49,heat,34.15742996187719,0.0,0.9907866761162296,0.4867276489776893,0.1
0.06232742203427554,2.128944552840128,190,0.04697163196035076,0.00021349141638790788,42.58347702026367,3.7514662742614746,48,heat,34.15742996187719,0.0001518141794443601,0.9968107725017717,0.4044541667362716,0.1
0.062197631235154226,2.1245112327094455,200,0.04706964993188921,0.0002057954949325688,42.61404800415039,3.7521839141845703,48,heat,34.15742996187719,0.0001518141794443601,0.9985825655563431,0.3393841377392802,0.1
