bulk_compression_ratio,deficit_hidden_1,deficit_input,deficit_output,entropy_gap,entropy_prod_global,entropy_prod_hidden_1,entropy_prod_input,entropy_prod_output,epoch,global_eff_rank,global_entropy,hidden_1_eff_rank,hidden_1_entropy,hq_phase,hq_wd,input_eff_rank,input_entropy,output_eff_rank,output_entropy,test_acc,train_acc,train_loss
0.8478953950798438,0.03656098246574402,0.012430686503648758,0.03442753851413727,0.16499805450439453,,,,,1,138.50445556640625,4.930902481079102,78.207275390625,4.359362602233887,heat,0.1,92.2369384765625,4.524360656738281,66.10895538330078,4.1913042068481445,0.008679479231246125,0.013386396526772794,4.57638058131062
0.6683966484797723,0.08111565560102463,0.018513010814785957,0.053253114223480225,0.40287351608276367,-0.003856658935546875,-0.29931163787841797,-0.06143617630004883,-0.13047122955322266,100,137.9713134765625,4.927045822143555,57.977264404296875,4.060050964355469,heat,0.1,86.74080657958984,4.462924480438232,58.022621154785156,4.060832977294922,0.0,0.4630969609261939,2.1963148686371734
0.6561656780339842,0.07683150470256805,0.013893905095756054,0.05116487294435501,0.4213418960571289,0.003938198089599609,0.026256561279296875,0.04472494125366211,0.0162200927734375,200,138.5157470703125,4.930984020233154,59.51970672607422,4.086307525634766,heat,0.1,90.7083511352539,4.5076494216918945,58.97142791748047,4.077053070068359,0.00015499070055796651,0.9479015918958031,0.6526814416244993
0.66189857664535,0.07393492013216019,0.013133203610777855,0.04879393428564072,0.4126429557800293,0.0025382041931152344,0.021176815032958984,0.012477874755859375,0.014545440673828125,300,138.86778259277344,4.9335222244262695,60.7935905456543,4.107484340667725,heat,0.1,91.8472900390625,4.520127296447754,59.8354606628418,4.0915985107421875,0.00015499070055796651,0.9992764109985528,0.23472058645809438
0.6692753032426647,0.07087700068950653,0.012512501329183578,0.04568107798695564,0.40155982971191406,-0.0009908676147460938,0.01409769058227539,0.0030145645141601562,0.014149188995361328,400,138.73023986816406,4.932531356811523,61.65671157836914,4.12158203125,heat,0.1,92.12458801269531,4.523141860961914,60.68810272216797,4.105747699737549,0.00030998140111593303,0.9992764109985528,0.1296968650822184
0.6786300641604912,0.06989982724189758,0.013104540295898914,0.04747116565704346,0.3876791000366211,0.0010509490966796875,0.012739181518554688,-0.0011415481567382812,-0.0055141448974609375,500,138.87612915039062,4.933582305908203,62.44718933105469,4.134321212768555,heat,0.1,92.01948547363281,4.522000312805176,60.3543815612793,4.100233554840088,0.00015499070055796651,1.0,0.08342716597052972
0.6895464177807128,0.0670558363199234,0.013110393658280373,0.04584229737520218,0.3717212677001953,0.0017032623291015625,0.0141143798828125,-0.0018434524536132812,0.006170749664306641,600,139.1128692626953,4.935285568237305,63.334842681884766,4.148435592651367,heat,0.1,91.85000610351562,4.5201568603515625,60.72796630859375,4.1064043045043945,0.00030998140111593303,1.0,0.05614458268721266
0.6981703879624,0.06497186422348022,0.013081178069114685,0.04578609764575958,0.35929203033447266,-0.00176239013671875,0.011419296264648438,-0.0010099411010742188,0.004473209381103516,700,138.86790466308594,4.933523178100586,64.06222534179688,4.159854888916016,heat,0.1,91.75729370117188,4.519146919250488,61.000221252441406,4.110877513885498,0.00015499070055796651,1.0,0.042967361582688414
0.6983028912807737,0.06472665816545486,0.012843174859881401,0.04432100057601929,0.3591022491455078,0.0007371902465820312,0.0015749931335449219,0.0013852119445800781,0.008938312530517578,800,138.97032165527344,4.934260368347168,64.16320037841797,4.1614298820495605,heat,0.1,91.88448333740234,4.520532131195068,61.547908782958984,4.119815826416016,0.0006199628022318661,1.0,0.03337555991380587
0.7050404599001101,0.06402376294136047,0.013224774971604347,0.04414776340126991,0.3495001792907715,0.0011467933654785156,0.007171154022216797,-0.0024309158325195312,0.004926204681396484,900,139.12979125976562,4.9354071617126465,64.62498474121094,4.168601036071777,heat,0.1,91.66138458251953,4.518101215362549,61.85185241699219,4.124742031097412,0.00015499070055796651,1.0,0.02713385432171494
0.7076398041381472,0.06351107358932495,0.01319632027298212,0.044302619993686676,0.34581995010375977,0.001990795135498047,0.004987239837646484,0.0013070106506347656,3.6716461181640625e-05,1000,139.40704345703125,4.9373979568481445,64.94808197021484,4.173588275909424,heat,0.1,91.7812728881836,4.519408226013184,61.854122161865234,4.124778747558594,0.00015499070055796651,1.0,0.02009480418273492
0.71157549269167,0.062317319214344025,0.013189168646931648,0.043118346482515335,0.3402738571166992,-0.0010290145874023438,0.005454540252685547,-9.1552734375e-05,0.0019068717956542969,1100,139.26365661621094,4.936368942260742,65.3033218383789,4.179042816162109,heat,0.1,91.77286529541016,4.519316673278809,61.9721794128418,4.126685619354248,0.00046497210167389957,1.0,0.015043379946486477
0.7146544255974329,0.06149338185787201,0.013197129592299461,0.04293450713157654,0.3359560966491699,0.0007963180541992188,0.005308628082275391,0.0009908676147460938,0.0030679702758789062,1200,139.37460327148438,4.937165260314941,65.65090942382812,4.184351444244385,heat,0.1,91.86385345458984,4.520307540893555,62.16260528564453,4.129753589630127,0.0006199628022318661,1.0,0.012939977049881488
0.713359980825374,0.06206332892179489,0.013130507431924343,0.04375153034925461,0.3377690315246582,0.00020933151245117188,-0.0007224082946777344,0.0010905265808105469,-0.0022339820861816406,1300,139.40377807617188,4.937374591827393,65.60350036621094,4.183629035949707,heat,0.1,91.9640884399414,4.521398067474365,62.02388381958008,4.127519607543945,0.00030998140111593303,1.0,0.010867066537171559
0.711480764564971,0.06229545921087265,0.01307457685470581,0.04239034652709961,0.3404068946838379,0.0005092620849609375,-0.0026564598083496094,-1.8596649169921875e-05,0.005093574523925781,1400,139.4747772216797,4.9378838539123535,65.42945861816406,4.180972576141357,heat,0.1,91.96237182617188,4.521379470825195,62.34061813354492,4.132613182067871,0.00030998140111593303,1.0,0.007714355187881441
0.7153860713555644,0.061146512627601624,0.013029994443058968,0.042291272431612015,0.334932804107666,-0.0031189918518066406,0.003948211669921875,-0.00152587890625,0.0032167434692382812,1500,139.0404510498047,4.934764862060547,65.68829345703125,4.184920787811279,baseline,1.0,91.82215881347656,4.519853591918945,62.54147720336914,4.135829925537109,0.00046497210167389957,1.0,0.005379718987813001
0.6522224560619007,0.07544171810150146,0.012453412637114525,0.05123749375343323,0.4273695945739746,-0.0011668205261230469,-0.08375263214111328,0.008684158325195312,-0.05673646926879883,1600,138.87831115722656,4.933598041534424,60.41081619262695,4.101168155670166,baseline,1.0,92.6230239868164,4.528537750244141,59.09187316894531,4.0790934562683105,0.00015499070055796651,1.0,0.058264385137906466
0.5814634003104994,0.0966307669878006,0.012240108102560043,0.06840203702449799,0.5422072410583496,-0.002582073211669922,-0.11054182052612305,0.004295825958251953,-0.0938866138458252,1700,138.5201873779297,4.931015968322754,54.08875274658203,3.990626335144043,baseline,1.0,93.02176666259766,4.532833576202393,53.79641342163086,3.9852068424224854,0.00015499070055796651,1.0,0.08031948462840272
0.5382138938135855,0.11269944906234741,0.012337813153862953,0.0814310759305954,0.6194992065429688,-0.0024547576904296875,-0.07722711563110352,6.4849853515625e-05,-0.06459641456604004,1800,138.18055725097656,4.928561210632324,50.06885528564453,3.9133992195129395,baseline,1.0,93.02780151367188,4.532898426055908,50.43122100830078,3.9206104278564453,0.0,1.0,0.09738827999222986
0.5110989078305229,0.12381960451602936,0.01238946057856083,0.08986587077379227,0.6711921691894531,-0.0022525787353515625,-0.053029537200927734,-0.0013365745544433594,-0.04088950157165527,1900,137.86964416503906,4.926308631896973,47.48290252685547,3.8603696823120117,baseline,1.0,92.90354919433594,4.531561851501465,48.410701751708984,3.87972092628479,0.0,1.0,0.11137618846900212
0.492442396176446,0.131601482629776,0.012347245588898659,0.09542825818061829,0.7083778381347656,-0.00250244140625,-0.03827667236328125,-0.00109100341796875,-0.027724504470825195,2000,137.52505493164062,4.923806190490723,45.69976043701172,3.8220930099487305,baseline,1.0,92.80224609375,4.530470848083496,47.08697509765625,3.851996421813965,0.0,1.0,0.12340919084728368
0.47841778392624523,0.13730311393737793,0.012282452546060085,0.09936093538999557,0.7372708320617676,-0.0025115013122558594,-0.029894351959228516,-0.0010013580322265625,-0.020838499069213867,2100,137.1800994873047,4.921294689178467,44.35380935668945,3.792198657989502,baseline,1.0,92.70936584472656,4.5294694900512695,46.11590576171875,3.831157922744751,0.0,1.0,0.13273063276162542
0.4674073850048972,0.14161738753318787,0.012184381484985352,0.1024659126996994,0.7605540752410889,-0.0027341842651367188,-0.024637460708618164,-0.001354217529296875,-0.018069982528686523,2200,136.8055419921875,4.91856050491333,43.27439880371094,3.767561197280884,baseline,1.0,92.58390045166016,4.528115272521973,45.290077209472656,3.8130879402160645,0.00015499070055796651,1.0,0.13910037281285492
