epoch,train_acc,test_acc,train_loss,functional_defect,class_separation,geometric_defect,explained_variance,functorial_defect_euclidean,functorial_defect_tangent,manifold_curvature,dirichlet_total,dirichlet_within_class,dirichlet_between_class,ridge_ratio,dirichlet_normalized,energy_grad_norm,info_grad_norm,gradient_ratio,tsallis_q,hub_concentration,activation_gini,hessian_trace,hessian_max_eigenvalue,hessian_density_zero,hessian_spectral_gap,hessian_n_negative,phase
1,0.014883061870932579,0.009108850732445717,4.571424961090088,1.0069322201946163,0.027179933356945293,0.7909868359565735,0.37433841824531555,1.5959040395025106,96.14980126701346,0.8962612438971025,0.02764773741364479,0.0,0.02764773741364479,inf,0.700962226022711,"tensor(0.3505, device='cuda:0')","tensor(0.1432, device='cuda:0')","tensor(0.4085, device='cuda:0')",1.2356958031301537,0.23257394134998322,0.42814541739068557,,,,,,MEMORIZATION
100,0.20411056280136108,0.00015181417984422296,3.1038174629211426,0.9300218012630903,0.10908094703865176,0.6834982633590698,0.5328267812728882,2.27655801113586,321.4257500443363,0.8389703047513061,58.735355377197266,0.0,58.735355377197266,inf,0.2933488586753652,"tensor(1.2126, device='cuda:0')","tensor(2.7165, device='cuda:0')","tensor(2.2401, device='cuda:0')",1.0,0.1416134387254715,0.14997086302631712,,,,,,MEMORIZATION
200,0.585400402545929,0.00015181417984422296,1.9918299913406372,0.9098975364875899,0.1328739400454123,0.7275352478027344,0.47069135308265686,1.3835030941746398,177.6604030701511,0.8510068622088269,151.46456909179688,0.0,151.46456909179688,inf,0.331895073994401,"tensor(2.0046, device='cuda:0')","tensor(4.3433, device='cuda:0')","tensor(2.1667, device='cuda:0')",1.0,0.1236901581287384,0.10976005088323271,,,,,,MEMORIZATION
300,0.8837703466415405,0.0,1.1466299295425415,0.8981668507132571,0.14725219867789574,0.7361350655555725,0.4581030607223511,2.161592092748136,198.2575107518721,0.8519494313178331,249.72813415527344,0.0,249.72813415527344,inf,0.3683332271020293,"tensor(2.1111, device='cuda:0')","tensor(5.4675, device='cuda:0')","tensor(2.5899, device='cuda:0')",1.0,0.13679087162017822,0.08674294046137065,,,,,,MEMORIZATION
400,0.974840521812439,0.0,0.7750933766365051,0.8922526312822815,0.15464296554241938,0.7393301725387573,0.45339030027389526,1.6869258414605608,778.4518653147261,0.8651527938581123,300.0694885253906,0.0,300.0694885253906,inf,0.37483708127870685,"tensor(2.1780, device='cuda:0')","tensor(6.0849, device='cuda:0')","tensor(2.7938, device='cuda:0')",1.0,0.14235500991344452,0.07689214982252368,,,,,,MEMORIZATION
500,0.9936215281486511,0.0,0.602687418460846,0.8884466683045469,0.1594518793750494,0.7414634227752686,0.4502290189266205,1.9418014997508282,4704.45443821721,0.8472947092554431,317.8858337402344,0.0,317.8858337402344,inf,0.3784732181546566,"tensor(2.0650, device='cuda:0')","tensor(6.2217, device='cuda:0')","tensor(3.0129, device='cuda:0')",1.0,0.14565517008304596,0.07322253601626716,357.36447292007506,9.26937676199425,0.03,0.054072087244493645,26,MEMORIZATION
600,0.9992912411689758,0.0,0.49825403094291687,0.884901070244336,0.16396696752932294,0.7429239153862,0.44806191325187683,1.3384907967207793,100.35341000821839,0.8531393633680145,325.87945556640625,0.0,325.87945556640625,inf,0.37958850862576615,"tensor(1.9154, device='cuda:0')","tensor(6.4624, device='cuda:0')","tensor(3.3739, device='cuda:0')",1.0,0.1456160843372345,0.06810527720590254,,,,,,MEMORIZATION
700,0.9996456503868103,0.0,0.4238724112510681,0.8817013881266681,0.1680745171284272,0.7453535199165344,0.44444409012794495,1.0002886988012154,30.5448338802767,0.8562738163148889,326.0668640136719,0.0,326.0668640136719,inf,0.3744280785940566,"tensor(1.8626, device='cuda:0')","tensor(6.4821, device='cuda:0')","tensor(3.4802, device='cuda:0')",1.0,0.1453300565481186,0.06683558407572987,,,,,,MEMORIZATION
800,1.0,0.0,0.36150074005126953,0.8775722530438052,0.17341423476194107,0.7469373941421509,0.4420832097530365,1.3629034257185788,179.25366093616495,0.8538580887295941,329.1175537109375,0.0,329.1175537109375,inf,0.36704152482865915,"tensor(1.7122, device='cuda:0')","tensor(6.5615, device='cuda:0')","tensor(3.8322, device='cuda:0')",1.0,0.14573271572589874,0.06412882280330434,,,,,,MEMORIZATION
900,1.0,0.00015181417984422296,0.3135775327682495,0.8722026624911611,0.18042890186156013,0.7488921284675598,0.439158171415329,1.3506918929364007,233.57843514394398,0.8603129604696169,334.0350646972656,0.0,334.0350646972656,inf,0.3779069399104843,"tensor(1.7130, device='cuda:0')","tensor(6.6746, device='cuda:0')","tensor(3.8964, device='cuda:0')",1.0,0.14555254578590393,0.0631114995876707,,,,,,MEMORIZATION
