epoch,train_acc,test_acc,func_defect,class_sep,ridge_ratio,gauss_curv,hessian_zero,phase
1,0.008715986394557822,0.006163655314594507,1.0074669189547776,0.013000004673896988,0.6142171925730393,1.5897206395720786e-08,,MEMORIZE
10,0.04336734693877551,0.0010626992443576455,1.0012625486357567,0.01913819710344733,0.5649870123337452,2.0665577977752037e-08,,MEMORIZE
20,0.0627125850340136,0.0004250796919222921,0.9952750030750405,0.02514598191568885,0.5318009545493622,6.3604632316582865e-09,,MEMORIZE
30,0.09630102040816327,0.00021253984596114606,0.9941234266163941,0.026310907365409666,0.554209461489558,-7.944651514435464e-09,,MEMORIZE
40,0.13052721088435373,0.0,0.9941569937835826,0.02627995912722241,0.5356900959054974,-7.944651514435464e-09,,MEMORIZE
50,0.1747448979591837,0.00021253984596114606,0.9944376635168559,0.02599574396572173,0.558274469900158,1.5897206395720786e-08,,MEMORIZE
60,0.2059948979591837,0.0,0.9946316203853488,0.025800328830898788,0.5632764922891326,-4.1323252588654215e-08,,MEMORIZE
70,0.24787414965986396,0.00021253984596114606,0.9949124160906966,0.025516909953287977,0.5678302987804674,-7.944651514435464e-09,,MEMORIZE
80,0.2997448979591837,0.00021253984596114606,0.9949259089913033,0.0255046895254097,0.5668825304229252,1.5897206395720786e-08,,MEMORIZE
90,0.34672619047619047,0.0,0.9943286327179623,0.026110244823668846,0.5862505802580174,-2.2249766260529215e-08,,MEMORIZE
100,0.390093537414966,0.0,0.9912544477785196,0.029232769384257513,0.5994186715087093,-2.2249766260529215e-08,0.3333333333333333,MEMORIZE
110,0.4562074829931973,0.00021253984596114606,0.982041387911091,0.038698545317585896,0.6465908733826764,1.5897206395720786e-08,,MEMORIZE
120,0.5335884353741497,0.0004250796919222921,0.9582731930026663,0.0639514707319416,0.7013646592268237,-2.7018137842560463e-08,,MEMORIZE
130,0.6213860544217688,0.001487778965383768,0.8976139280197702,0.13446073520354893,0.860168091239022,3.4970692723845786e-08,,MEMORIZE
140,0.7066326530612245,0.0031880976166576147,0.7963156999823499,0.276151416869083,1.0689941454989333,1.1128834813689537e-08,,MEMORIZE
150,0.7701955782312925,0.00403825705870986,0.701580752463508,0.4456849469714932,1.3613788260299717,1.1128834813689537e-08,,MEMORIZE
160,0.8018707482993197,0.00573857594281435,0.6278451982403787,0.6130456306259072,1.6905634432421168,1.5920916496270366e-09,,MEMORIZE
170,0.8335459183673469,0.007226354908198118,0.5720669493595002,0.7683100279882972,1.9738396173240156,-2.2249766260529215e-08,,MEMORIZE
180,0.8607568027210885,0.009989372454583645,0.5293739914558433,0.9092562893589455,2.2599149827492933,-3.1786509424591713e-08,,MEMORIZE
190,0.8818027210884354,0.013177470304071903,0.4956744130863823,1.0376567725902106,2.5709330113986595,-1.2713023096466713e-08,,TRANSITION
200,0.9045493197278912,0.015515408478677273,0.46799901906290875,1.1569334292379547,2.7395037058674325,-1.7481394678497964e-08,0.26666666666666666,TRANSITION
210,0.9158163265306123,0.02082890458405018,0.44474390645546086,1.2686358814673755,2.902066791130056,-5.085999575271671e-08,,TRANSITION
220,0.9304846938775511,0.026992561295628548,0.4233346358321201,1.382322562341711,3.2143048078414176,-2.7018137842560463e-08,,TRANSITION
230,0.9447278911564626,0.03613177314400673,0.4032807906448291,1.4997612213938,3.453266836102647,-4.1323252588654215e-08,,TRANSITION
240,0.9579081632653061,0.05164718255400658,0.38216298400216586,1.6367513579880608,3.6565351374564092,-3.655488100662296e-08,,TRANSITION
250,0.9736394557823129,0.07672688364982605,0.3584770581671643,1.8096083899752566,3.7741159532969126,-7.944651514435464e-09,,TRANSITION
260,0.9789540816326531,0.11030817776918411,0.33351592173998573,2.0183396604658688,4.207576526198289,-3.1786509424591713e-08,,TRANSITION
270,0.9836309523809523,0.15239107608795166,0.30886976049206144,2.257541371395452,4.3712256740216064,-2.2249766260529215e-08,,TRANSITION
280,0.9876700680272109,0.18554729223251343,0.2863930730010569,2.511579214939357,4.704497248047589,2.5433949559783288e-08,,TRANSITION
290,0.9878826530612245,0.2231668382883072,0.267434097395567,2.7590582087135944,4.940009877597543,-7.944651514435464e-09,,TRANSITION
300,0.9912840136054422,0.26524972915649414,0.2524465495659042,2.981003317520436,4.8232155976655555,-1.7481394678497964e-08,0.23333333333333334,TRANSITION
310,0.9934098639455783,0.32922422885894775,0.24016544010341662,3.1835196992180146,5.046590846026419,1.1128834813689537e-08,,TRANSITION
320,0.9961734693877551,0.4221041202545166,0.22903184537591106,3.3858847590131154,5.364917562858216,-1.7481394678497964e-08,,TRANSITION
330,0.9974489795918368,0.5500531196594238,0.21795665210283702,3.6076988069725133,5.547419843581552,-2.7018137842560463e-08,,TRANSITION
340,0.9997874149659864,0.7137088179588318,0.20452914506418743,3.9088443804218276,5.833714785660462,2.0665577977752037e-08,,TRANSITION
350,1.0,0.8688628673553467,0.1853887309248186,4.413529371630588,6.436646150619903,-2.7018137842560463e-08,,TRANSITION
360,1.0,0.9642933011054993,0.15966140687988178,5.282526010307769,7.523386673860374,-3.1762799324042133e-09,,TRANSITION
370,1.0,0.9951115846633911,0.13073345981267914,6.668128876680405,9.07790104436677,-3.1786509424591713e-08,,TRANSITION
380,1.0,0.9995748996734619,0.10520209726022252,8.524096758470362,11.206012651147084,6.3604632316582865e-09,,TRANSITION
390,1.0,1.0,0.08524928323976214,10.74841200454921,13.954510139797192,-6.039673891677921e-08,,GROKKED
400,1.0,1.0,0.07008341721812675,13.286277972340319,17.304098511911484,6.3604632316582865e-09,0.26666666666666666,GROKKED
410,1.0,1.0,0.058644103084922135,16.068986873969838,20.200451540275875,3.020232114181454e-08,,GROKKED
420,1.0,1.0,0.04970821027901708,19.133720913504607,23.591358648336524,-4.1323252588654215e-08,,GROKKED
430,1.0,1.0,0.042866576858034404,22.34383529148582,27.40383113696464,6.3604632316582865e-09,,GROKKED
440,1.0,1.0,0.03752279503481033,25.665394149436757,31.34498937524597,-3.1762799324042133e-09,,GROKKED
