epoch,train_loss,train_acc,test_acc,epsilon,hidden_eff_rank,hidden_entropy,hidden_k,M_explore,M_nominal,M_effective,kappa,tau_opt_const,peak_eff_rank,phase,weight_decay,frame_tightness
1,4.579407025194607,0.007087172218284904,0.009108850766661606,0.22040849895552664,78.15418342309808,4.3586835861206055,79,2.302585092994046,0.1,0.001,0.5186207927287779,0.0445,78.15418342309808,heat,0.1,349.10040261972716
100,0.20304989080788985,0.9996456413890857,0.0009108850766661606,0.21693203288396984,34.95269616808748,3.5539956092834473,41,2.302585092994046,10.0,5.135345848014902,0.5150267186672477,0.0445,78.15418342309808,heat,0.1,48173.931702543
200,0.013655372497953691,1.0,0.0007590708972218005,0.21912596242191518,36.09048622573742,3.586029291152954,42,2.302585092994046,20.0,10.28561303468738,0.49616941529920816,0.0445,78.15418342309808,heat,0.1,4771.893518315182
300,0.002626104471600442,1.0,0.0009108850766661606,0.2224339888118773,36.485807570490756,3.596923351287842,42,2.302585092994046,30.0,15.24730718767946,0.5409877740065384,0.0445,78.15418342309808,heat,0.1,15206.5780836311
400,0.0015129957763606208,1.0,0.0010626992561105207,0.2232919234905058,36.764938747326326,3.6045446395874023,42,2.302585092994046,40.0,20.657184927744844,0.5377981510823551,0.0445,78.15418342309808,heat,0.1,15065.563366204417
500,0.0011629499085801954,1.0,0.0024290268711097615,0.22008883641487342,36.53168826606045,3.598180055618286,42,2.302585092994046,50.0,26.035166438568396,0.5290256861039432,0.0445,78.15418342309808,heat,0.1,24318.433301433797
600,0.0008619530271249675,1.0,0.003491726127220282,0.21891842304177667,36.391468450308814,3.594334363937378,42,2.302585092994046,60.0,31.325423299607827,0.5360521937549451,0.0445,78.15418342309808,heat,0.1,17402.880881033056
700,0.0006892761095687035,1.0,0.006679823895551844,0.2162663768491466,36.17861052768294,3.588468074798584,42,2.302585092994046,70.0,36.68594523715728,0.5837223045583791,0.0445,78.15418342309808,heat,0.1,26062.175625364154
800,0.0006034799305620471,1.0,0.009108850766661606,0.22351174803821167,35.930280231432604,3.581580400466919,41,2.302585092994046,80.0,42.52316828274107,0.5215214164741239,0.0445,78.15418342309808,heat,0.1,52319.944731422656
900,0.0004767254716452689,1.0,0.01366327614999241,0.22119218338583363,35.742482242311354,3.5763399600982666,41,2.302585092994046,90.0,47.73838244748231,0.549343583142228,0.0445,78.15418342309808,heat,0.1,91526.29509679439
1000,0.00042754334781594804,1.0,0.022316684378320937,0.221274551147057,35.59168643341674,3.5721120834350586,41,2.302585092994046,100.0,53.23181827890459,0.5861879007973886,0.0445,78.15418342309808,heat,0.1,13804.575476033848
1100,0.00034153973075236484,1.0,0.0346136329133141,0.222516072647703,35.46060342294796,3.568422317504883,41,2.302585092994046,110.0,59.093697286878474,0.6294314176945254,0.0445,78.15418342309808,heat,0.1,5982.548364022091
1200,0.00029702830782393156,1.0,0.054045847882192195,0.2158417899421621,35.30785677528395,3.56410551071167,42,2.302585092994046,120.0,65.38801146382373,0.5750381771656287,0.0445,78.15418342309808,heat,0.1,14814.620721441155
1300,0.00028502974017270103,1.0,0.08061332928495521,0.22053018110884667,34.87493243937672,3.5517683029174805,41,2.302585092994046,130.0,71.13839323548002,0.5591697107440069,0.0445,78.15418342309808,heat,0.1,124261.06508198824
1400,0.00021439870462159168,1.0,0.12964930924548354,0.21872832966979122,34.55085539891342,3.5424323081970215,41,2.302585092994046,140.0,76.73009034292009,0.5193142503139584,0.0445,78.15418342309808,heat,0.1,100107.06761778948
1500,0.00017224674115033688,1.0,0.1929558220737817,0.2191699637098555,33.37917445247781,3.507932186126709,40,2.302585092994046,150.0,81.92323284605968,0.6024529947480942,0.0445,78.15418342309808,heat,0.1,37074.51275524902
