M_explore,epoch,epsilon,exploration_mass,hidden_eff_rank,hidden_entropy,hidden_k,peak_eff_rank,phase,tau_opt_const,test_acc,train_acc,train_loss,weight_decay
2.302585092994046,1,0.05161929447058812,0.001,78.16313171386719,4.358798027038574,78,78.16313171386719,heat,0.003,0.0,0,0,0.1
2.302585092994046,100,0.0079412746554524,0.1,40.012489318847656,3.6891915798187256,74,78.16313171386719,heat,0.003,0.0,0.5854004252303331,1.8846474436476752,0.1
2.302585092994046,200,0.007280481623085459,0.2,39.84159469604492,3.6849114894866943,71,78.16313171386719,heat,0.003,0.0,0.9975194897236003,0.34370400806760887,0.1
2.302585092994046,300,0.008438446380183344,0.30000000000000004,39.861778259277344,3.685417890548706,68,78.16313171386719,heat,0.003,0.0001518141794443601,1.0,0.09828430976557613,0.1
2.302585092994046,400,0.010094881927836537,0.4,39.85581588745117,3.6852686405181885,65,78.16313171386719,heat,0.003,0.0001518141794443601,1.0,0.050560126890323416,0.1
2.302585092994046,500,0.012318077769539934,0.5,39.83940887451172,3.684856653213501,62,78.16313171386719,heat,0.003,0.0001518141794443601,1.0,0.03210220626647129,0.1
2.302585092994046,600,0.013984620641659824,0.6,39.8183479309082,3.6843278408050537,60,78.16313171386719,heat,0.003,0.0001518141794443601,1.0,0.02206594049851367,0.1
2.302585092994046,700,0.016058811100937046,0.7,39.796688079833984,3.683783769607544,58,78.16313171386719,heat,0.003,0.0001518141794443601,1.0,0.01567869100252379,0.1
2.302585092994046,800,0.018719386837463024,0.7999999999999999,39.77290725708008,3.6831860542297363,56,78.16313171386719,heat,0.003,0.0001518141794443601,1.0,0.011302328413757638,0.1
2.302585092994046,900,0.02012314506836598,0.8999999999999999,39.74782943725586,3.6825551986694336,55,78.16313171386719,heat,0.003,0.0001518141794443601,1.0,0.008205276579958466,0.1
2.302585092994046,1000,0.023381598865342534,0.9999999999999999,39.721832275390625,3.681900978088379,53,78.16313171386719,heat,0.003,0.0001518141794443601,1.0,0.005987424499135462,0.1
2.302585092994046,1100,0.025065226808439967,1.0999999999999999,39.696537017822266,3.6812639236450195,52,78.16313171386719,heat,0.003,0.0001518141794443601,1.0,0.004374512567625115,0.1
2.302585092994046,1200,0.027045125871239327,1.2,39.67630386352539,3.6807541847229004,51,78.16313171386719,heat,0.003,0.0001518141794443601,1.0,0.00320513114649314,0.1
2.302585092994046,1300,0.029551290277358408,1.3,39.65635299682617,3.680251121520996,50,78.16313171386719,heat,0.003,0.0,1.0,0.002356080115428901,0.1
2.302585092994046,1400,0.03219848872322163,1.4000000000000001,39.640602111816406,3.679853916168213,49,78.16313171386719,heat,0.003,0.0001518141794443601,1.0,0.0017325002576332094,0.1
2.302585092994046,1500,0.0350330341764225,1.5000000000000002,39.62333297729492,3.6794180870056152,48,78.16313171386719,heat,0.003,0.0003036283588887202,1.0,0.0012745965773161847,0.1
2.302585092994046,1600,0.0380573857135109,1.6000000000000003,39.60612487792969,3.678983688354492,47,78.16313171386719,heat,0.003,0.0001518141794443601,1.0,0.0009385791655384337,0.1
2.302585092994046,1700,0.041377644552845344,1.7000000000000004,39.588863372802734,3.6785478591918945,46,78.16313171386719,heat,0.003,0.0001518141794443601,1.0,0.0006924182974666087,0.1
2.302585092994046,1800,0.04506756538481931,1.8000000000000005,39.573951721191406,3.678171157836914,45,78.16313171386719,heat,0.003,0.0003036283588887202,1.0,0.000510276948688598,0.1
2.302585092994046,1900,0.044884967492831565,1.9000000000000006,39.55564498901367,3.677708387374878,45,78.16313171386719,heat,0.003,0.0003036283588887202,1.0,0.00037712994124674355,0.1
2.302585092994046,2000,0.04878281565442525,2.0000000000000004,39.54120635986328,3.6773433685302734,44,78.16313171386719,heat,0.003,0.0003036283588887202,1.0,0.000278806905705227,0.1
2.302585092994046,2100,0.04859568068656459,2.1000000000000005,39.527530670166016,3.676997423171997,44,78.16313171386719,heat,0.003,0.0004554425383330803,1.0,0.0002061634264138219,0.1
2.302585092994046,2200,0.05268868919898549,2.2000000000000006,39.514102935791016,3.6766579151153564,43,78.16313171386719,heat,0.003,0.0006072567177774404,1.0,0.00015269236643556083,0.1
2.302585092994046,2300,0.05252161519652622,2.3000000000000007,39.502498626708984,3.676363945007324,43,78.16313171386719,heat,0.003,0.0006072567177774404,1.0,0.0001132322394685598,0.1
2.302585092994046,2400,0.05234744408485206,2.400000000000001,39.488372802734375,3.676006317138672,43,78.16313171386719,quench,0.003,0.0006072567177774404,1.0,8.387843325730343e-05,2.0
2.302585092994046,2500,0.05208013136630474,2.400000000000001,38.61437225341797,3.6536245346069336,42,78.16313171386719,quench,0.003,0.0007590708972218005,1.0,0.04485806664366151,2.0
2.302585092994046,2600,0.04451028928984487,2.400000000000001,37.296852111816406,3.6189088821411133,42,78.16313171386719,quench,0.003,0.0004554425383330803,1.0,0.2035754949889396,2.0
2.302585092994046,2700,0.040047577284826816,2.400000000000001,35.641361236572266,3.5735068321228027,41,78.16313171386719,quench,0.003,0.0009108850766661606,1.0,0.4777500906960496,2.0
