T_explore_epochs,T_explore_markov,d_ln_eps_dt,d_rank_dt_rel,epoch,epsilon,hidden_eff_rank,hidden_entropy,hidden_k,high_rank_duration_markov,peak_eff_rank,phase,tau_opt_const,test_acc,train_acc,train_loss,weight_decay
645.7533694561857,1.9372601083685572,0.0,0.0,1,0.05161929447058812,78.16313171386719,4.358798027038574,78,0.0,78.16313171386719,heat,0.003,0.0,0,0,0.1
3900.1433331471862,11.700429999441559,0.0,0.0,100,0.008546694438133712,41.10551071166992,3.716142177581787,74,0.0,78.16313171386719,heat,0.003,0.0,0.5889440113394756,1.866971697814071,0.1
4019.331431486015,12.057994294458044,0.0,0.0,200,0.008293253219232393,41.3814582824707,3.7228329181671143,71,0.0,78.16313171386719,heat,0.003,0.0001518141794443601,0.9968107725017717,0.34264237622180616,0.1
3375.4806565836425,10.126441969750928,0.0,0.0,300,0.009875136824830847,41.507511138916016,3.725874423980713,68,0.0,78.16313171386719,heat,0.003,0.0001518141794443601,1.0,0.09830495595805279,0.1
2877.627861578684,8.632883584736053,0.0,0.0,400,0.011583615024858171,41.775997161865234,3.7323219776153564,66,0.0,78.16313171386719,heat,0.003,0.0001518141794443601,1.0,0.04919401573414586,0.1
2359.6378592844903,7.078913577853471,0.0,0.0,500,0.014126461483136635,41.860267639160156,3.734337091445923,63,0.0,78.16313171386719,heat,0.003,0.0,1.0,0.031075817522936727,0.1
2074.517226192241,6.223551678576724,0.0,0.0,600,0.016067995441289434,41.88132095336914,3.734839916229248,61,0.0,78.16313171386719,heat,0.003,0.0003036283588887202,1.0,0.021267462868974785,0.1
1812.3190903309348,5.436957270992805,0.0,0.0,700,0.018392640408178104,41.8891716003418,3.735027313232422,59,0.0,78.16313171386719,heat,0.003,0.0003036283588887202,1.0,0.0151041817708135,0.1
1570.4025756377137,4.711207726913141,0.0,0.0,800,0.0212259797904351,41.87263488769531,3.7346324920654297,57,0.0,78.16313171386719,heat,0.003,0.0003036283588887202,1.0,0.010884551572977103,0.1
1463.6896727367641,4.391069018210293,-0.08753660933275839,-0.15304158930785555,900,0.022773497657469728,41.87147521972656,3.734604835510254,56,0.0,78.16313171386719,heat,0.003,0.0003036283588887202,1.0,0.00791273669958178,0.1
1268.5046513998846,3.8055139541996534,0.26143744156773874,0.005878892350576107,1000,0.026277659523398396,41.834136962890625,3.733712673187256,54,0.0,78.16313171386719,heat,0.003,0.0003036283588887202,1.0,0.005785609745307648,0.1
1189.7489519208075,3.569246855762423,0.26816582931879657,0.003196856689436517,1100,0.028017115106105238,41.804412841796875,3.733001947402954,53,0.0,78.16313171386719,heat,0.003,0.0004554425383330803,1.0,0.004228726104971135,0.1
1098.1795827085484,3.294538748125645,0.25493970751391243,0.0013306955421091094,1200,0.030353262670500623,41.81105422973633,3.7331607341766357,52,0.0,78.16313171386719,heat,0.003,0.0003036283588887202,1.0,0.003102577335652014,0.1
1017.8391943728838,3.0535175831186514,0.23997889926499488,-0.00042620812595826587,1300,0.032749115496452104,41.77754211425781,3.732358932495117,51,0.0,78.16313171386719,heat,0.003,0.0003036283588887202,1.0,0.002285176425582177,0.1
938.7655035193226,2.816296510557968,0.22352802594162924,-0.0010110638806505351,1400,0.03550762486304679,41.77894592285156,3.7323925495147705,50,0.0,78.16313171386719,heat,0.003,0.0004554425383330803,1.0,0.001681461879946582,0.1
868.0242472726478,2.6040727418179435,0.21195564771305156,-0.0012720026008485816,1500,0.038401385028203346,41.7512321472168,3.731729030609131,49,0.0,78.16313171386719,heat,0.003,0.0003036283588887202,1.0,0.0012390379476955678,0.1
873.0102671191861,2.6190308013575585,0.20304303203528856,-0.001495583988597775,1600,0.03818206336029558,41.71003341674805,3.7307417392730713,49,0.0,78.16313171386719,heat,0.003,0.0003036283588887202,1.0,0.0009141477126189891,0.1
810.5939343850546,2.4317818031551637,0.18295407025565766,-0.0016531390595805322,1700,0.04112211049126736,41.677528381347656,3.729962110519409,48,0.0,78.16313171386719,heat,0.003,0.0003036283588887202,1.0,0.000674529592021455,0.1
747.2015185451255,2.2416045556353765,0.17125650898921896,-0.0017402219500148805,1800,0.04461090148509949,41.66669845581055,3.7297022342681885,47,0.0,78.16313171386719,heat,0.003,0.0003036283588887202,1.0,0.0004980343969540128,0.1
735.9179952364068,2.2077539857092203,0.1607193735578832,-0.0009812047483772424,1900,0.04529490180848929,41.81534957885742,3.7332634925842285,47,0.0,78.16313171386719,heat,0.003,0.0003036283588887202,1.0,0.00036111061680652094,0.1
677.0954009679699,2.03128620290391,0.15242424068085467,-0.0001707869954384811,2000,0.04922989180797902,41.86171340942383,3.7343716621398926,46,0.0,78.16313171386719,heat,0.003,0.0004554425383330803,1.0,0.00026817738709619503,0.1
677.5343952088069,2.032603185626421,0.1459667783618675,0.0004912829196986193,2100,0.049197994329218446,41.87028884887695,3.734576463699341,46,0.0,78.16313171386719,heat,0.003,0.0004554425383330803,1.0,0.00019939085888190554,0.1
627.8781943552684,1.8836345830658054,0.1361772923504538,0.001160236575449981,2200,0.0530888532728253,41.878456115722656,3.734771490097046,45,0.0,78.16313171386719,heat,0.003,0.0006072567177774404,1.0,0.00014816171743649287,0.1
628.7566211071085,1.8862698633213253,0.1297383292188011,0.0016892580593294681,2300,0.053014683606258224,41.90236282348633,3.735342264175415,45,0.0,78.16313171386719,heat,0.003,0.0007590708972218005,1.0,0.00010983637975342209,0.1
