T_explore_epochs,T_explore_markov,d_ln_eps_dt,d_rank_dt_rel,epoch,epochs_at_high_rank,epsilon,hidden_eff_rank,hidden_entropy,hidden_k,peak_eff_rank,phase,tau_opt,test_acc,train_acc,train_loss,weight_decay
355.16435320090216,1.9372601083685572,0.0,0.0,1,1,0.05161929447058812,78.16313171386719,4.358798027038574,78,78.16313171386719,heat,0.005454545454545455,0.0,0,0,0.1
2145.078833230952,11.700429999441559,0.0,0.0,100,1,0.008546694438133712,41.10551071166992,3.716142177581787,74,78.16313171386719,heat,0.005454545454545455,0.0,0.5889440113394756,1.866971697814071,0.1
2210.632287317308,12.057994294458044,0.0,0.0,200,1,0.008293253219232393,41.3814582824707,3.7228329181671143,71,78.16313171386719,heat,0.005454545454545455,0.0001518141794443601,0.9968107725017717,0.34264237622180616,0.1
1856.5143611210033,10.126441969750928,0.0,0.0,300,1,0.009875136824830847,41.507511138916016,3.725874423980713,68,78.16313171386719,heat,0.005454545454545455,0.0001518141794443601,1.0,0.09830495595805279,0.1
1582.6953238682763,8.632883584736053,0.0,0.0,400,1,0.011583615024858171,41.775997161865234,3.7323219776153564,66,78.16313171386719,heat,0.005454545454545455,0.0001518141794443601,1.0,0.04919401573414586,0.1
1297.8008226064696,7.078913577853471,0.0,0.0,500,1,0.014126461483136635,41.860267639160156,3.734337091445923,63,78.16313171386719,heat,0.005454545454545455,0.0,1.0,0.031075817522936727,0.1
1140.9844744057327,6.223551678576724,0.0,0.0,600,1,0.016067995441289434,41.88132095336914,3.734839916229248,61,78.16313171386719,heat,0.005454545454545455,0.0003036283588887202,1.0,0.021267462868974785,0.1
996.7754996820141,5.436957270992805,0.0,0.0,700,1,0.018392640408178104,41.8891716003418,3.735027313232422,59,78.16313171386719,heat,0.005454545454545455,0.0003036283588887202,1.0,0.0151041817708135,0.1
863.7214166007425,4.711207726913141,0.0,0.0,800,1,0.0212259797904351,41.87263488769531,3.7346324920654297,57,78.16313171386719,heat,0.005454545454545455,0.0003036283588887202,1.0,0.010884551572977103,0.1
805.0293200052203,4.391069018210293,-0.04814513513301711,-0.08417287411932055,900,1,0.022773497657469728,41.87147521972656,3.734604835510254,56,78.16313171386719,heat,0.005454545454545455,0.0003036283588887202,1.0,0.00791273669958178,0.1
697.6775582699364,3.8055139541996534,0.1437905928622563,0.003233390792816859,1000,1,0.026277659523398396,41.834136962890625,3.733712673187256,54,78.16313171386719,heat,0.005454545454545455,0.0003036283588887202,1.0,0.005785609745307648,0.1
654.3619235564441,3.569246855762423,0.1474912061253381,0.0017582711791900845,1100,1,0.028017115106105238,41.804412841796875,3.733001947402954,53,78.16313171386719,heat,0.005454545454545455,0.0004554425383330803,1.0,0.004228726104971135,0.1
603.9987704897015,3.294538748125645,0.14021683913265182,0.0007318825481600101,1200,1,0.030353262670500623,41.81105422973633,3.7331607341766357,52,78.16313171386719,heat,0.005454545454545455,0.0003036283588887202,1.0,0.003102577335652014,0.1
559.811556905086,3.0535175831186514,0.13198839459574718,-0.0002344144692770462,1300,1,0.032749115496452104,41.77754211425781,3.732358932495117,51,78.16313171386719,heat,0.005454545454545455,0.0003036283588887202,1.0,0.002285176425582177,0.1
516.3210269356274,2.816296510557968,0.12294041426789606,-0.0005560851343577942,1400,1,0.03550762486304679,41.77894592285156,3.7323925495147705,50,78.16313171386719,heat,0.005454545454545455,0.0004554425383330803,1.0,0.001681461879946582,0.1
477.41333599995625,2.6040727418179435,0.11657560624217835,-0.0006996014304667198,1500,1,0.038401385028203346,41.7512321472168,3.731729030609131,49,78.16313171386719,heat,0.005454545454545455,0.0003036283588887202,1.0,0.0012390379476955678,0.1
480.1556469155524,2.6190308013575585,0.11167366761940871,-0.0008225711937287762,1600,1,0.03818206336029558,41.71003341674805,3.7307417392730713,49,78.16313171386719,heat,0.005454545454545455,0.0003036283588887202,1.0,0.0009141477126189891,0.1
445.82666391178,2.4317818031551637,0.10062473864061171,-0.0009092264827692926,1700,1,0.04112211049126736,41.677528381347656,3.729962110519409,48,78.16313171386719,heat,0.005454545454545455,0.0003036283588887202,1.0,0.000674529592021455,0.1
410.960835199819,2.2416045556353765,0.09419107994407042,-0.0009571220725081842,1800,1,0.04461090148509949,41.66669845581055,3.7297022342681885,47,78.16313171386719,heat,0.005454545454545455,0.0003036283588887202,1.0,0.0004980343969540128,0.1
404.7548973800237,2.2077539857092203,0.08839565545683577,-0.0005396626116074833,1900,1,0.04529490180848929,41.81534957885742,3.7332634925842285,47,78.16313171386719,heat,0.005454545454545455,0.0003036283588887202,1.0,0.00036111061680652094,0.1
372.40247053238346,2.03128620290391,0.08383333237447005,-9.39328474911646e-05,2000,1,0.04922989180797902,41.86171340942383,3.7343716621398926,46,78.16313171386719,heat,0.005454545454545455,0.0004554425383330803,1.0,0.00026817738709619503,0.1
372.6439173648438,2.032603185626421,0.08028172809902712,0.00027020560583424066,2100,1,0.049197994329218446,41.87028884887695,3.734576463699341,46,78.16313171386719,heat,0.005454545454545455,0.0004554425383330803,1.0,0.00019939085888190554,0.1
345.33300689539766,1.8836345830658054,0.07489751079274959,0.0006381301164974896,2200,1,0.0530888532728253,41.878456115722656,3.734771490097046,45,78.16313171386719,heat,0.005454545454545455,0.0006072567177774404,1.0,0.00014816171743649287,0.1
345.8161416089096,1.8862698633213253,0.0713560810703406,0.0009290919326312073,2300,1,0.053014683606258224,41.90236282348633,3.735342264175415,45,78.16313171386719,heat,0.005454545454545455,0.0007590708972218005,1.0,0.00010983637975342209,0.1
346.2369160173625,1.888564996458341,0.06553281984549549,0.0011607274018763576,2400,1,0.052950255981410094,41.903385162353516,3.7353665828704834,45,78.16313171386719,heat,0.005454545454545455,0.0006072567177774404,1.0,8.139766827160505e-05,0.1
318.18612566102485,1.7355606854237722,0.06230503267435683,0.0012514915150517864,2500,1,0.057618267594937475,41.90590286254883,3.735426664352417,44,78.16313171386719,heat,0.005454545454545455,0.0006072567177774404,1.0,6.057973819092433e-05,0.1
319.0280144560983,1.7401528061241724,0.056394588479062896,0.001133917704300352,2600,1,0.05746621770689733,41.903263092041016,3.735363721847534,44,78.16313171386719,heat,0.005454545454545455,0.0006072567177774404,1.0,4.497572285622575e-05,0.1
320.0352711197841,1.7456469333806408,0.04895448910983032,0.0007491469000119845,2700,1,0.05728535254625562,41.873779296875,3.7346599102020264,44,78.16313171386719,heat,0.005454545454545455,0.0007590708972218005,1.0,3.3493727298495035e-05,0.1
320.4174292993861,1.747731432542106,0.04244119194803083,0.00019234786256452682,2800,1,0.057217028965685104,41.8588981628418,3.734304428100586,44,78.16313171386719,heat,0.005454545454545455,0.0006072567177774404,1.0,2.4959176133465915e-05,0.1
320.83819840055065,1.7500265367302765,0.032345787597016895,-4.499348465905371e-05,2900,1,0.05714199065051809,41.853759765625,3.7341816425323486,44,78.16313171386719,heat,0.005454545454545455,0.0006072567177774404,1.0,1.860562569828005e-05,0.1
294.85159656972627,1.6082814358348707,0.03199738974265423,-0.00017689189229153792,3000,1,0.06217817216057665,41.84977722167969,3.734086513519287,43,78.16313171386719,heat,0.005454545454545455,0.0004554425383330803,1.0,1.390581361233997e-05,0.1
