T_explore_epochs,T_explore_markov,epoch,epsilon,epsilon_derivative,hidden_eff_rank,hidden_entropy,hidden_k,phase,tau,test_acc,train_acc,train_loss,weight_decay
1.9372601083685572,1.9372601083685572,1,0.05161929447058812,0.0,78.16313171386719,4.358798027038574,78,heat,1.0,0.0,0,0,0.1
11.700429999441559,11.700429999441559,100,0.008546694438133712,0.0,41.10551071166992,3.716142177581787,74,heat,1.0,0.0,0.5889440113394756,1.866971697814071,0.1
12.057994294458044,12.057994294458044,200,0.008293253219232393,0.0,41.3814582824707,3.7228329181671143,71,heat,1.0,0.0001518141794443601,0.9968107725017717,0.34264237622180616,0.1
10.126441969750928,10.126441969750928,300,0.009875136824830847,0.0,41.507511138916016,3.725874423980713,68,heat,1.0,0.0001518141794443601,1.0,0.09830495595805279,0.1
8.632883584736053,8.632883584736053,400,0.011583615024858171,0.0,41.775997161865234,3.7323219776153564,66,heat,1.0,0.0001518141794443601,1.0,0.04919401573414586,0.1
7.078913577853471,7.078913577853471,500,0.014126461483136635,0.0,41.860267639160156,3.734337091445923,63,heat,1.0,0.0,1.0,0.031075817522936727,0.1
6.223551678576724,6.223551678576724,600,0.016067995441289434,0.0,41.88132095336914,3.734839916229248,61,heat,1.0,0.0003036283588887202,1.0,0.021267462868974785,0.1
5.436957270992805,5.436957270992805,700,0.018392640408178104,0.0,41.8891716003418,3.735027313232422,59,heat,1.0,0.0003036283588887202,1.0,0.0151041817708135,0.1
4.711207726913141,4.711207726913141,800,0.0212259797904351,0.0,41.87263488769531,3.7346324920654297,57,heat,1.0,0.0003036283588887202,1.0,0.010884551572977103,0.1
0.043910690182102925,4.391069018210293,900,0.022773497657469728,-5.980544302747248e-06,41.87147521972656,3.734604835510254,56,quench,100.0,0.0003036283588887202,1.0,0.00791273669958178,2.0
0.05216169230946369,5.216169230946369,1000,0.019171157140899935,1.6733618201738858e-05,39.59164810180664,3.6786181926727295,54,quench,100.0,0.0001518141794443601,1.0,0.489102458590569,2.0
0.0651619012208635,6.516190122086351,1100,0.01534639077841732,1.2613514745272107e-05,36.95320129394531,3.609652280807495,52,quench,100.0,0.0,0.9961020552799433,1.0563992362424552,2.0
0.08999124871313374,8.999124871313374,1200,0.011112191621962187,5.190681682952149e-06,34.26498031616211,3.5341238975524902,51,quench,100.0,0.0003036283588887202,0.9578313253012049,1.609563454679358,2.0
0.10776170156765437,10.776170156765437,1300,0.00927973468730155,-2.518773776690374e-06,31.741498947143555,3.457624912261963,49,quench,100.0,0.0001518141794443601,0.8639262934089298,2.0203539890908417,2.0
0.12129690226088659,12.129690226088659,1400,0.00824423362312411,-9.581892575862461e-06,29.48602294921875,3.3839163780212402,47,quench,100.0,0.0003036283588887202,0.7895109851169383,2.236601512876493,2.0
