epoch,train_acc,test_acc,train_loss,functional_defect,class_separation,geometric_defect,explained_variance,functorial_defect_euclidean,functorial_defect_tangent,manifold_curvature,dirichlet_total,dirichlet_within_class,dirichlet_between_class,ridge_ratio,dirichlet_normalized,energy_grad_norm,info_grad_norm,gradient_ratio,tsallis_q,hub_concentration,activation_gini,gauss_curvature,curvature_variance,hessian_trace,hessian_max_eigenvalue,hessian_density_zero,hessian_spectral_gap,hessian_n_negative,phase
500,0.992558479309082,0.00015181417984422296,0.61369788646698,0.8900415028095958,0.15743849411335006,0.7452639937400818,0.44457948207855225,1.3503709689609549,88.15215945737019,0.8628155016599285,382.11521402994794,531.1597290039062,307.59295654296875,0.5790969076661808,0.454993431615799,"tensor(2.2242, device='cuda:0')","tensor(6.4028, device='cuda:0')","tensor(2.8787, device='cuda:0')",1.0,0.14515997469425201,0.06881596966485048,-1.1444091541079615e-07,2.926000777390622e-14,343.0803378149867,9.064887607768894,0.04,0.07430216851810811,27,MEMORIZATION
550,0.997873842716217,0.0,0.5525913834571838,0.888615544451817,0.15924314864099248,0.7463109493255615,0.44301724433898926,1.2937688740632238,329.3029960640017,0.8679697216554401,390.13641357421875,545.5877685546875,312.4107360839844,0.5726131597700391,0.45339773337197425,"tensor(1.7702, device='cuda:0')","tensor(6.3208, device='cuda:0')","tensor(3.5706, device='cuda:0')",1.0,0.14551110565662384,0.06868134644470159,-1.0728835775353218e-07,2.799107788001992e-14,,,,,,MEMORIZATION
600,0.9992912411689758,0.0,0.5055105686187744,0.8873286668408413,0.16087465366100845,0.7475732564926147,0.4411320686340332,1.262451803619682,628.3304011488085,0.8617006395439561,390.63576253255206,545.2596435546875,313.3238220214844,0.5746323347512866,0.447864955221283,"tensor(1.8442, device='cuda:0')","tensor(6.3821, device='cuda:0')","tensor(3.4606, device='cuda:0')",1.0,0.14609640836715698,0.06795321762470141,-9.775161657898934e-08,2.6521187725331644e-14,,,,,,MEMORIZATION
650,1.0,0.00015181417984422296,0.46279892325401306,0.8859008245958971,0.16269258088559307,0.7480669021606445,0.4403941333293915,1.5756066213492455,66.93393161219444,0.8597260804437612,395.57387288411456,557.0459594726562,314.83782958984375,0.5651918378294928,0.44865291363282617,"tensor(1.7570, device='cuda:0')","tensor(6.4441, device='cuda:0')","tensor(3.6677, device='cuda:0')",1.0,0.14673848450183868,0.06669030915818053,-8.583069188716763e-08,2.8157589310857066e-14,,,,,,MEMORIZATION
700,1.0,0.0,0.42800888419151306,0.8845008602875988,0.16447980419574632,0.7491168975830078,0.43882232904434204,1.663469392508981,869.6482594087786,0.8704855572953956,396.30564371744794,553.2327880859375,317.8420715332031,0.5745177769250916,0.4437032717611062,"tensor(1.8104, device='cuda:0')","tensor(6.6746, device='cuda:0')","tensor(3.6868, device='cuda:0')",1.0,0.14624321460723877,0.06751937670223929,-1.1444091541079615e-07,2.1221543131718507e-14,,,,,,MEMORIZATION
750,1.0,0.00015181417984422296,0.39692482352256775,0.8828951771377259,0.1665352878850499,0.7497848272323608,0.4378182888031006,1.4499407746940765,236.70750433766153,0.8660257670449394,399.03407796223956,558.1116333007812,319.49530029296875,0.5724576970442474,0.445417543379436,"tensor(1.9837, device='cuda:0')","tensor(6.5274, device='cuda:0')","tensor(3.2905, device='cuda:0')",1.0,0.14575989544391632,0.06547213148423192,-8.106231774718253e-08,2.0922970794074944e-14,,,,,,MEMORIZATION
800,1.0,0.0,0.3696102201938629,0.8814245016364786,0.16842450340849136,0.750840961933136,0.4362369477748871,2.1471358796565365,268.1319256606094,0.8730198210024903,396.1892903645833,547.2146606445312,320.6766052246094,0.586016107183429,0.44265844944817284,"tensor(2.0041, device='cuda:0')","tensor(6.6472, device='cuda:0')","tensor(3.3168, device='cuda:0')",1.0,0.14687614142894745,0.06502668353876961,-1.1205673189351728e-07,2.6934594013700366e-14,,,,,,MEMORIZATION
850,1.0,0.0003036283596884459,0.3433022201061249,0.8796602440783923,0.1706992304298189,0.7506195306777954,0.4365687370300293,1.8007591098185711,632.3821538266913,0.8700001995629877,398.02813720703125,550.5667114257812,321.75885009765625,0.584413920094097,0.4449801770254666,"tensor(1.6297, device='cuda:0')","tensor(6.5990, device='cuda:0')","tensor(4.0493, device='cuda:0')",1.0,0.1465580314397812,0.06474098012766494,-1.3828277189986693e-07,2.20253892571241e-14,,,,,,MEMORIZATION
900,1.0,0.00045544252498075366,0.32138586044311523,0.877518168035154,0.1734759495217817,0.7514934539794922,0.43525412678718567,1.7363171093440024,178.0994684810354,0.8768378815665684,396.37335205078125,549.858154296875,319.6309509277344,0.5812971007703958,0.437291202069047,"tensor(1.7655, device='cuda:0')","tensor(6.8048, device='cuda:0')","tensor(3.8544, device='cuda:0')",1.0,0.14641496539115906,0.06584119945106359,-8.106231774718253e-08,2.551637964505818e-14,,,,,,MEMORIZATION
950,1.0,0.00045544252498075366,0.2992708683013916,0.8749454785155629,0.17682573438039023,0.7533388733863831,0.4324791133403778,1.1879803880678432,114.91076648406077,0.8700708543485536,401.79217529296875,544.6060180664062,330.38525390625,0.6066500239554177,0.4453279599273287,"tensor(1.6344, device='cuda:0')","tensor(6.6919, device='cuda:0')","tensor(4.0944, device='cuda:0')",1.0,0.14620625972747803,0.06693235566200773,-9.298324243900424e-08,2.858821916717526e-14,,,,,,MEMORIZATION
1000,1.0,0.0003036283596884459,0.2809089720249176,0.8716848630343073,0.18109922511657212,0.7547706365585327,0.43031829595565796,1.9124031904466376,77.52183920654602,0.8758447896574717,398.33038330078125,546.440673828125,324.2752380371094,0.5934317366336925,0.43758513013811035,"tensor(1.6979, device='cuda:0')","tensor(6.9531, device='cuda:0')","tensor(4.0952, device='cuda:0')",1.0,0.14571648836135864,0.06704797034185761,-8.34465012644614e-08,2.6842724820241165e-14,282.3172855097801,8.123558276398953,0.04,0.07756254138140863,29,MEMORIZATION
1050,1.0,0.0006072567193768919,0.2637215256690979,0.8677073978926034,0.18635506558603138,0.7558766007423401,0.42864835262298584,1.7969001241630929,643.2810657449911,0.871079850781242,391.46376546223956,536.994873046875,318.6982116699219,0.593484645135713,0.4303605112722562,"tensor(1.6416, device='cuda:0')","tensor(6.9201, device='cuda:0')","tensor(4.2155, device='cuda:0')",1.0,0.14615733921527863,0.06847658664676848,-1.0490417423625331e-07,2.563121359578334e-14,,,,,,MEMORIZATION
1100,1.0,0.00045544252498075366,0.24553558230400085,0.8631095675376482,0.19249426357823965,0.7563201189041138,0.42797839641571045,1.826837329116834,2105.410552718319,0.8679419802751057,391.7959798177083,532.9779052734375,321.20501708984375,0.6026610369993736,0.42636134538213627,"tensor(1.4399, device='cuda:0')","tensor(6.9803, device='cuda:0')","tensor(4.8479, device='cuda:0')",1.0,0.14488080143928528,0.07000017916421619,-8.34465012644614e-08,2.5694373454528303e-14,,,,,,MEMORIZATION
1150,1.0,0.00151814182754606,0.22988049685955048,0.8580943299804642,0.1992662513272627,0.7559524774551392,0.42853301763534546,1.2476141795640996,69.08057273171187,0.8515686588592759,390.28521728515625,524.082275390625,323.3866882324219,0.6170532823140897,0.4243456626389147,"tensor(1.4671, device='cuda:0')","tensor(7.0578, device='cuda:0')","tensor(4.8106, device='cuda:0')",1.0,0.14508646726608276,0.07249671694095727,-9.298324243900424e-08,2.6291516435749535e-14,,,,,,MEMORIZATION
1200,1.0,0.001366327633149922,0.21433860063552856,0.8521010742869451,0.20746277039620445,0.7555266618728638,0.4291776716709137,1.7638844282294872,50.904746784673435,0.8490399153543007,385.29282633463544,517.0802001953125,319.3991394042969,0.6176974853874754,0.4184534221679977,"tensor(1.3219, device='cuda:0')","tensor(7.0213, device='cuda:0')","tensor(5.3116, device='cuda:0')",1.0,0.1450357586145401,0.07435953822166075,-9.059905892172537e-08,2.6159455528943117e-14,,,,,,MEMORIZATION
1250,1.0,0.001366327633149922,0.2017894983291626,0.8445700897807369,0.21792741935973256,0.7547762393951416,0.43031060695648193,1.3471476074133215,36.97729096894779,0.8438076743318202,383.46677652994794,512.5567016601562,318.92181396484375,0.6222176257414356,0.4165175461149767,"tensor(1.4270, device='cuda:0')","tensor(7.2629, device='cuda:0')","tensor(5.0895, device='cuda:0')",1.0,0.1435459852218628,0.07612244287866043,-9.536743306171047e-08,3.1005502120840314e-14,,,,,,MEMORIZATION
1300,1.0,0.00151814182754606,0.18765053153038025,0.8336781927267162,0.2333916603793858,0.7517470717430115,0.43487539887428284,1.4188563508564358,100.57275871045213,0.8192877723769345,386.6637878417969,505.0997619628906,327.44580078125,0.6482794597026701,0.41722323635732533,"tensor(1.3653, device='cuda:0')","tensor(7.1813, device='cuda:0')","tensor(5.2599, device='cuda:0')",1.0,0.1431056708097458,0.08049905705844729,-8.82148754044465e-08,2.94609680347082e-14,,,,,,MEMORIZATION
1350,1.0,0.002125398488715291,0.173851877450943,0.8171300452633157,0.2576768264055592,0.7464861869812012,0.4427568316459656,2.1260861351344498,2602.975925733285,0.7924338271694844,373.69386800130206,477.94830322265625,321.566650390625,0.6728063437455504,0.40516388585770086,"tensor(1.2030, device='cuda:0')","tensor(7.4397, device='cuda:0')","tensor(6.1844, device='cuda:0')",1.0,0.14162985980510712,0.08364598846340532,-8.583069188716763e-08,3.160264340799565e-14,,,,,,MEMORIZATION
1400,1.0,0.0040989830158650875,0.1597764939069748,0.7951088356481463,0.2915601468908227,0.7402227520942688,0.4520687758922577,1.380669389965722,52.63796040493236,0.7601779140406737,370.49742635091144,451.6883850097656,329.9019470214844,0.7303750947998182,0.4027331014935206,"tensor(1.0939, device='cuda:0')","tensor(7.6043, device='cuda:0')","tensor(6.9515, device='cuda:0')",1.0,0.13951319456100464,0.09054099234863866,-5.7220457705398076e-08,3.45883600081677e-14,,,,,,MEMORIZATION
1450,1.0,0.005768938921391964,0.14718471467494965,0.7670899522218532,0.3374833254195866,0.7328003644943237,0.46300068497657776,1.7004027684387801,292.7008444257448,0.7222130100376569,368.7200215657552,430.3473205566406,337.9063720703125,0.7851945531651999,0.3964661554154515,"tensor(1.1642, device='cuda:0')","tensor(7.8855, device='cuda:0')","tensor(6.7736, device='cuda:0')",1.0,0.13594494760036469,0.09695549475440401,-8.106231774718253e-08,3.3554840899114105e-14,,,,,,MEMORIZATION
1500,1.0,0.010323364287614822,0.1346880942583084,0.732411291706813,0.3991865172668012,0.7237667441368103,0.4761587083339691,1.5630672451465157,192.47809747382155,0.6580834540089386,369.75293986002606,403.8367614746094,352.7110290527344,0.873400003914479,0.38583202219582874,"tensor(1.0261, device='cuda:0')","tensor(8.2160, device='cuda:0')","tensor(8.0067, device='cuda:0')",1.0,0.13501758873462677,0.10451445762602896,-1.3113022134803032e-07,2.5694373454528303e-14,197.06624113675207,6.226914546513561,0.04,0.06440846295406616,31,MEMORIZATION
1550,1.0,0.02155761420726776,0.1206561028957367,0.6868587752402966,0.4897007166858998,0.7094188332557678,0.4967232644557953,2.3470463545949642,317.2409168952289,0.6125079341980361,363.91517130533856,370.1177062988281,360.81390380859375,0.9748625847077886,0.3705822287691291,"tensor(0.9619, device='cuda:0')","tensor(8.5474, device='cuda:0')","tensor(8.8858, device='cuda:0')",1.0,0.13525272905826569,0.11100303584627436,-1.3113022134803032e-07,2.6842724820241165e-14,,,,,,MEMORIZATION
1600,1.0,0.05009867995977402,0.10500486195087433,0.6187049038434013,0.6500194686469382,0.6798825860023499,0.5377587676048279,2.3512583855201474,271.14973089830266,0.5609414433465505,347.8329264322917,313.18951416015625,365.1546325683594,1.1659222804682714,0.34787150300598674,"tensor(0.8551, device='cuda:0')","tensor(9.0620, device='cuda:0')","tensor(10.5972, device='cuda:0')",1.0,0.13866794109344482,0.11711432382648979,-8.82148754044465e-08,2.601591224350372e-14,,,,,,MEMORIZATION
1650,1.0,0.10733262449502945,0.09328775852918625,0.529454633595447,0.9223830222685512,0.6342289447784424,0.5977503061294556,1.3588846728980537,80.17568685961278,0.5292648180904764,333.0850423177083,263.26263427734375,367.9962463378906,1.3978293856552821,0.32092312018282537,"tensor(0.7770, device='cuda:0')","tensor(9.7182, device='cuda:0')","tensor(12.5070, device='cuda:0')",1.0,0.1487516611814499,0.12153735441340074,-8.583069188716763e-08,3.504769919920013e-14,,,,,,MEMORIZATION
1700,1.0,0.18688325583934784,0.08359145373106003,0.4466506818083524,1.2724165703237433,0.5838284492492676,0.6591407656669617,2.203194850772451,121.52075338198708,0.4904498243724694,337.41355387369794,229.18426513671875,391.5281982421875,1.7083554929419926,0.30407220092338905,"tensor(0.7788, device='cuda:0')","tensor(10.5672, device='cuda:0')","tensor(13.5681, device='cuda:0')",1.0,0.15833742916584015,0.1251253763705833,-7.390976008991856e-08,3.2951956728576384e-14,,,,,,MEMORIZATION
1750,1.0,0.2945195138454437,0.0733090490102768,0.3826873057741078,1.646509128712642,0.5389885902404785,0.7094868421554565,1.4271737919239766,118.72996400272754,0.4830256308641153,347.5099283854167,202.5216064453125,420.00408935546875,2.073872989294521,0.29216406873828143,"tensor(0.7757, device='cuda:0')","tensor(11.1939, device='cuda:0')","tensor(14.4308, device='cuda:0')",1.0,0.16575679183006287,0.12755171169205248,-8.82148754044465e-08,2.8312616668995337e-14,,,,,,MEMORIZATION
1800,1.0,0.41718536615371704,0.06427102535963058,0.33169519308948425,2.0480875785839165,0.4969331622123718,0.7530540227890015,2.262541280455924,118.45782066426482,0.4812030399057685,366.63623046875,189.82330322265625,455.0426940917969,2.397190894724065,0.288221376595992,"tensor(0.8167, device='cuda:0')","tensor(11.9113, device='cuda:0')","tensor(14.5847, device='cuda:0')",1.0,0.17257696390151978,0.12851576967556166,-9.775161657898934e-08,3.5708002039166326e-14,,,,,,MEMORIZATION
1850,1.0,0.5650523900985718,0.05439016595482826,0.28602955590089063,2.5292566645012724,0.4548150300979614,0.7931402325630188,2.1467701554016196,599.0088184822898,0.44466147663520017,382.71458943684894,173.09823608398438,487.52276611328125,2.8164513812650487,0.28520272287943166,"tensor(0.6019, device='cuda:0')","tensor(12.5403, device='cuda:0')","tensor(20.8349, device='cuda:0')",1.0,0.1787988245487213,0.12947635722906492,-1.0728835775353218e-07,2.6842724820241165e-14,,,,,,MEMORIZATION
1900,1.0,0.7302262187004089,0.04565548524260521,0.24247131858777077,3.157103332288562,0.41027525067329407,0.8316726088523865,2.0257302821244907,145.95215395225955,0.45021884842464355,402.5672200520833,157.3134765625,525.194091796875,3.3385193899024763,0.2834619897973991,"tensor(0.5270, device='cuda:0')","tensor(13.2184, device='cuda:0')","tensor(25.0836, device='cuda:0')",1.0,0.18372465670108795,0.13074002217301384,-9.536743306171047e-08,3.1005502120840314e-14,,,,,,MEMORIZATION
1950,1.0,0.865037202835083,0.038801830261945724,0.2008297744185786,4.0119507148327385,0.3644923269748688,0.8671423196792603,1.5738330558690388,97.96018935181618,0.44074634504411536,419.7345886230469,140.34146118164062,559.43115234375,3.986214391908686,0.2826212941650168,"tensor(0.5522, device='cuda:0')","tensor(13.8286, device='cuda:0')","tensor(25.0431, device='cuda:0')",1.1391656393521454,0.19150467216968536,0.13205515773957632,-9.775161657898934e-08,3.2262946247961846e-14,,,,,,MEMORIZATION
2000,1.0,0.9382116198539734,0.03299068659543991,0.1661538379011569,5.050763148245906,0.32465869188308716,0.8945948481559753,0.7089414475492881,30.56434125641838,0.4280242065961998,436.93420664469403,123.08606719970703,593.8582763671875,4.824740036609123,0.2789957742903739,"tensor(0.4431, device='cuda:0')","tensor(14.4937, device='cuda:0')","tensor(32.7080, device='cuda:0')",1.1404752873438948,0.20080026984214783,0.13406180797563438,-9.298324243900424e-08,3.8923386540788696e-14,147.73717023176138,4.9186939810354655,0.05,0.015055998931148607,29,MEMORIZATION
2050,1.0,0.9755579233169556,0.027246970683336258,0.1389236772567025,6.230031094049513,0.2938634753227234,0.9136425852775574,1.2717956474751961,56.70607492864362,0.4505466864091002,442.13333892822266,108.49486541748047,608.9525756835938,5.6127317485522275,0.2705660520372974,"tensor(0.4013, device='cuda:0')","tensor(14.8854, device='cuda:0')","tensor(37.0931, device='cuda:0')",1.1410111345616265,0.20813404023647308,0.13371208496460196,-8.583069188716763e-08,4.078945772183033e-14,,,,,,TRANSITION
2100,1.0,0.9943828582763672,0.021409763023257256,0.1150965791931363,7.719663855235052,0.27404576539993286,0.924898087978363,1.5916446670260869,105.86005621453944,0.44081500073669755,434.60249582926434,86.75121307373047,608.5281372070312,7.0146354805417985,0.2669462925336318,"tensor(0.2837, device='cuda:0')","tensor(14.9844, device='cuda:0')","tensor(52.8208, device='cuda:0')",1.1409802648668312,0.21259993314743042,0.1308562911603911,-5.960464477539063e-08,4.2919650716484806e-14,,,,,,TRANSITION
2150,1.0,0.9996963739395142,0.016822630539536476,0.09330538860903291,9.748065477888726,0.2555970251560211,0.9346684813499451,3.6890447017995474,642.96871484283,0.4852783452017354,398.9711456298828,65.39122009277344,565.7611083984375,8.651942991670243,0.2567530438762912,"tensor(0.2576, device='cuda:0')","tensor(14.5916, device='cuda:0')","tensor(56.6481, device='cuda:0')",1.139543862789417,0.21178781986236572,0.12557031347616,-8.583069188716763e-08,6.260814214070418e-14,,,,,,TRANSITION
2200,1.0,1.0,0.013148904778063297,0.07104093719581882,13.105757457792485,0.22997720539569855,0.9471098780632019,1.0792546057931252,109.3081792086839,0.5091599377242984,376.6412099202474,46.02812194824219,541.94775390625,11.774274746983174,0.2570069077509005,"tensor(0.1757, device='cuda:0')","tensor(14.2302, device='cuda:0')","tensor(81.0099, device='cuda:0')",1.0,0.2044094204902649,0.11979854628218789,-6.437301891537572e-08,6.528955029611386e-14,,,,,,TRANSITION
2250,1.0,1.0,0.010748844593763351,0.05176129037511243,18.34696660275877,0.19959086179733276,0.9601632952690125,5.001274133569863,6434.40639825938,0.5457321289475627,384.50860087076825,33.20695495605469,560.159423828125,16.86873802700148,0.2694356532911186,"tensor(0.1356, device='cuda:0')","tensor(14.1038, device='cuda:0')","tensor(103.9885, device='cuda:0')",1.0,0.18741220235824585,0.11320327876910907,-8.106231774718253e-08,1.1164277103703837e-13,,,,,,TRANSITION
2300,1.0,1.0,0.008753079921007156,0.038163276381403655,25.228273803156565,0.17052778601646423,0.9709197878837585,2.32447162581365,149.40679631861116,0.5276931368523221,420.9598808288574,25.999881744384766,618.4398803710938,23.78625743190771,0.2860047773359209,"tensor(0.1094, device='cuda:0')","tensor(14.2978, device='cuda:0')","tensor(130.6525, device='cuda:0')",1.0,0.1728728711605072,0.10919740681470669,-5.2452087118126656e-08,1.694737693279727e-13,,,,,,GROKKED
2350,1.0,1.0,0.0070676798932254314,0.029673202805064563,32.72285630352812,0.14848767220973969,0.977950930595398,2.3123653187443907,549.9515715577049,0.4802858380093097,467.93887011210126,22.35677146911621,690.7299194335938,30.89578119040008,0.29927869462062595,"tensor(0.1013, device='cuda:0')","tensor(14.8154, device='cuda:0')","tensor(146.2880, device='cuda:0')",1.0,0.1678932160139084,0.10623339733626147,-9.059905892172537e-08,1.4788475619868097e-13,,,,,,GROKKED
2400,1.0,1.0,0.00577408354729414,0.024956049347530887,39.09059148962134,0.13127751648426056,0.9827659726142883,1.6950749459870125,164.01401691666092,0.442989887303071,515.9397322336832,20.390851974487305,763.7141723632812,37.453764723456764,0.30977649505088567,"tensor(0.0844, device='cuda:0')","tensor(15.2885, device='cuda:0')","tensor(181.0659, device='cuda:0')",1.0,0.16818545758724213,0.10484681989334343,-2.6226043559063328e-08,1.6179703518810762e-13,,,,,,GROKKED
2450,1.0,1.0,0.004747096914798021,0.022090792336437473,44.286041086263566,0.11967075616121292,0.9856786727905273,4.749613176986937,288.39393949446855,0.43796789268111247,551.6849835713705,19.804584503173828,817.6251831054688,41.28464209761323,0.3134750987696915,"tensor(0.0772, device='cuda:0')","tensor(15.7799, device='cuda:0')","tensor(204.4067, device='cuda:0')",1.0,0.16757971048355103,0.10277448085371166,-5.7220457705398076e-08,1.3794003374430208e-13,,,,,,GROKKED
2500,1.0,1.0,0.003934806678444147,0.02081390509708176,47.06213170372518,0.11459451168775558,0.9868677854537964,1.4926887273203655,149.9229624589754,0.4375774155614639,583.576301574707,19.635765075683594,865.5465698242188,44.08010416136464,0.31743078398191416,"tensor(0.0759, device='cuda:0')","tensor(16.1332, device='cuda:0')","tensor(212.4457, device='cuda:0')",1.0,0.16679343581199646,0.10091401932530375,-1.4305115314527939e-07,1.9292312430745084e-13,23.384742585418277,0.8266947583022994,0.2,0.0030436299047055795,30,GROKKED
